onset	duration	accuracy	response_time	image
12.01	2	0	0	13
18.008	2	1	1.354	-14
20.074	2	1	0.93	16
22.14	2	0	1.52	50
24.189	2	0	1.222	17
28.004	2	1	0.743	18
34.002	2	1	0.594	-20
36.051	2	1	0.887	53
38.117	2	0	1.348	1
40.183	2	0	0.698	2
42.249	2	1	0.827	-3
46.014	2	0	1.036	-5
48.08	2	0	1.58	-6
54.011	2	1	1.297	7
56.077	2	1	0.686	-52
60.009	2	1	0.667	17
62.075	2	1	1.03	18
68.006	2	1	1.644	-19
70.072	2	1	1.196	49
72.137	2	1	1.232	13
76.003	2	1	0.606	-14
78.069	2	1	0.757	15
80.134	2	1	0.742	-21
82.2	2	0	1.131	-22
86.016	2	1	0.842	24
90.014	2	1	0.804	-9
92.08	2	1	0.716	10
98.011	2	1	0.657	-12
102.01	2	1	0.978	1
108.007	2	0	0	2
110.073	2	0	0.344	-4
116.004	2	0	1.926	-21
122.002	2	0	1.106	-22
126.017	2	1	1.264	23
128.083	2	1	1.009	-51
134.014	2	1	1.502	-5
138.013	2	0	1.237	-6
144.01	2	1	1.16	8
148.009	2	1	0.746	-54
152.007	2	1	1.059	-9
156.006	2	1	0.595	10
162.003	2	1	0.925	-11
164.069	2	1	0.821	1
170.017	2	0	1.633	2
174.015	2	1	1.281	-4
178.014	2	1	0.619	49
184.012	2	0	0	17
186.078	2	1	0.163	18
188.143	2	1	0.716	-19
194.008	2	0	0	50
196.057	2	1	1.314	-9
198.14	2	1	0.765	10
200.206	2	1	1.069	-12
206.003	2	0	1.919	13
210.002	2	1	0.754	-14
212.068	2	1	0.727	15
214.15	2	1	0.723	-21
216.216	2	0	0.77	-22
218.282	2	1	0.848	24
220.331	2	1	0.809	-51
226.012	2	0	1.365	-5
228.078	2	0	1.236	-6
230.161	2	1	0.856	7
232.243	2	1	1.345	53
234.326	2	0	0	1
236.392	2	0	0.276	2
240.007	2	1	1.315	-3
244.006	2	1	1.1	-52
250.003	2	0	1.384	-21
256.018	2	0	0.879	-22
258.1	2	1	1.239	23
260.166	2	1	0.668	-9
264.015	2	1	0.9	10
266.097	2	1	0.882	-11
272.012	2	1	1.189	13
278.009	2	1	0.657	-14
280.092	2	1	1.573	16
282.174	2	0	1.982	17
286.006	2	1	1.29	18
288.072	2	1	1.073	-20
294.003	2	1	1.584	-54
298.002	2	0	1.722	-5
302.017	2	0	0.745	-6
304.099	2	1	0.728	8
