onset	duration	accuracy	response_time	image
12.017	2	0	0	53
14.066	2	1	0.746	-5
20.013	2	0	0.468	-6
22.079	2	1	0.714	7
28.011	2	1	0.729	1
32.009	2	1	0.787	2
38.007	2	1	0.675	-3
40.056	2	1	0.649	17
42.122	2	0	0.546	18
48.003	2	1	0.584	-19
50.069	2	1	0.709	-50
52.135	2	0	0.618	-21
56.017	2	1	0.401	-22
58.082	2	1	0.608	23
62.014	2	1	0.781	-9
68.012	2	1	0.671	10
72.01	2	1	0.632	-12
74.06	2	1	0.76	49
76.126	2	1	0.598	-5
80.007	2	0	0.62	-6
82.073	2	1	0.703	8
84.139	2	1	0.625	-51
88.004	2	1	1.021	13
90.07	2	1	0.566	-14
92.136	2	1	0.564	15
98.017	2	1	0.595	-54
100.083	2	1	1.247	-21
106.014	2	1	0.572	-22
108.08	2	1	0.619	24
110.146	2	0	0.855	52
114.011	2	1	0.609	17
116.077	2	0	0.612	18
122.008	2	0	0.793	-20
126.007	2	1	0.762	-9
128.072	2	1	0.866	10
132.004	2	1	0.702	-11
138.002	2	1	0.721	1
140.068	2	0	0.399	2
146.016	2	1	0.617	-4
152.013	2	1	0.862	13
158.011	2	1	0.576	-14
160.077	2	1	0.693	16
162.143	2	1	0.715	17
164.209	2	0	0.499	18
168.007	2	1	0.756	-19
172.006	2	1	0.691	49
174.072	2	0	0.763	13
180.003	2	1	0.559	-14
184.001	2	1	0.65	16
186.067	2	0	0.631	52
190.016	2	1	0.673	1
194.014	2	0	0.795	2
196.08	2	1	0.764	-3
198.146	2	1	0.728	53
202.011	2	1	0.758	17
204.077	2	0	0.636	18
208.009	2	0	0.792	-20
212.007	2	1	0.685	-9
218.005	2	1	0.308	10
220.071	2	1	0.547	-12
226.002	2	1	0.527	1
228.085	2	0	0.436	2
230.167	2	1	0.597	-4
232.25	2	0	0.736	-21
238.014	2	1	0.275	-22
240.097	2	1	0.563	24
242.179	2	1	0.67	-51
248.01	2	1	0.977	13
250.093	2	1	0.517	-14
254.008	2	1	0.537	15
256.091	2	1	0.694	-5
260.006	2	0	0.702	-6
262.088	2	1	0.809	8
264.171	2	1	0.655	-54
266.253	2	0	0.988	-9
268.336	2	1	0.684	10
270.419	2	1	0.631	-11
276.016	2	1	0.913	-50
280.015	2	0	0.596	-21
284.013	2	1	0.318	-22
286.096	2	1	0.578	23
292.01	2	1	0.584	-5
298.008	2	0	0.308	-6
300.091	2	1	0.722	7
