onset	duration	accuracy	response_time	image
12.012	2	0	0	55
14.061	2	1	0.606	-37
18.009	2	1	0.856	-38
20.075	2	1	0.462	40
22.141	2	1	0.509	-41
26.006	2	1	0.469	42
28.072	2	1	0.466	-44
30.122	2	1	0.441	45
32.187	2	1	0.327	-46
36.003	2	1	0.56	47
38.069	2	0	0.455	33
40.134	2	1	0.565	34
46.015	2	1	0.333	-35
48.081	2	1	0.507	58
52.013	2	1	0.5	-25
54.079	2	1	0.355	26
60.01	2	1	0.347	-27
62.076	2	1	0.488	29
64.125	2	1	0.316	-30
66.191	2	1	0.492	31
70.006	2	0	0.533	60
72.072	2	1	0.523	-41
74.138	2	1	0.497	42
78.003	2	1	0.663	-43
80.069	2	0	0.495	-56
84.018	2	1	0.522	45
86.084	2	1	0.582	-46
88.15	2	1	0.477	48
90.215	2	1	0.362	-59
92.281	2	0	0.458	-37
94.347	2	1	0.527	-38
98.012	2	1	0.488	39
102.011	2	1	0.582	29
106.009	2	1	0.553	-30
108.075	2	1	0.463	32
112.007	2	1	0.708	-57
114.073	2	1	0.521	33
116.139	2	1	0.664	34
122.003	2	1	0.582	-36
124.069	2	0	0.446	-25
130.017	2	1	0.602	26
132.083	2	1	0.351	-28
134.149	2	0	0.462	-57
136.215	2	1	0.629	-25
142.012	2	1	0.376	26
146.011	2	1	0.32	-27
152.009	2	1	0.427	58
158.006	2	0	0.372	33
160.072	2	1	0.324	34
166.003	2	1	0.382	-35
168.069	2	1	0.916	55
172.018	2	1	0.538	-41
178.015	2	1	0.546	42
184.013	2	1	0.455	-44
186.079	2	0	0.443	-25
192.01	2	1	0.656	26
198.008	2	1	0.282	-28
200.074	2	0	0	-37
206.005	2	1	0.271	-38
210.003	2	1	0.472	39
216.018	2	0	0.602	45
220.016	2	0	0.515	-46
222.082	2	1	0.6	47
228.013	2	1	0.749	33
230.096	2	1	0.588	34
236.01	2	1	0.327	-36
238.093	2	1	0.684	-41
240.175	2	1	0.54	42
244.007	2	1	0.507	-43
250.005	2	1	0.493	60
252.087	2	1	0.595	29
254.17	2	1	0.37	-30
260.018	2	1	0.529	31
264.016	2	1	0.507	-59
268.015	2	1	0.412	45
270.097	2	1	0.394	-46
274.012	2	1	0.44	48
280.01	2	1	0.386	-37
282.093	2	1	0.615	-38
284.175	2	1	0.413	40
290.006	2	1	0.379	-56
294.005	2	1	0.4	29
300.002	2	1	0.463	-30
304.018	2	1	0.392	32
