onset	duration	accuracy	response_time	image
12.015	2	1	0	-57
19.013	2	1	0	32
24.011	2	1	0	59
31.008	2	1	0	-12
36.006	2	1	0	48
41.004	2	1	0	-30
47.019	2	1	0	-28
54.016	2	1	0	-4
61.013	2	1	0	-14
67.011	2	1	0	26
74.008	2	1	0	18
78.007	2	1	0.571	2
84.005	2	1	0	-46
89.003	2	1	0	-56
93.018	2	1	0	-55
97.016	2	1	0	-36
102.014	2	1	0	40
108.012	2	1	0	58
112.011	2	1	0	-20
116.009	2	1	0.528	-6
120.008	2	1	0	-6
124.006	2	1	0	-38
130.004	2	1	0.759	26
136.018	2	1	0	-44
140.017	2	1	0	10
144.015	2	1	0	60
148.014	2	1	0	42
153.012	2	1	0	8
160.009	2	1	0	34
164.008	2	1	0	24
168.006	2	1	0	2
172.004	2	1	0	16
179.018	2	1	0	-22
185.016	2	1	0	-44
191.014	2	1	0	-28
195.012	2	1	0	-6
200.011	2	1	0	59
206.008	2	1	0	26
210.007	2	1	0	-4
217.004	2	1	0	42
221.003	2	1	0	34
227.017	2	1	0	-30
231.015	2	1	0.652	-30
235.014	2	1	0	-56
240.012	2	1	0	-36
245.01	2	1	0	-55
249.009	2	1	0	-14
255.006	2	1	0	10
259.005	2	1	0	8
266.002	2	1	0	32
271.017	2	1	0	40
278.014	2	1	0	24
282.013	2	1	0	18
288.01	2	1	0	2
295.008	2	1	0	-38
301.006	2	1	0	-20
307.003	2	1	0	16
311.002	2	1	0	-22
315.017	2	1	0	48
319.015	2	1	0	-57
325.013	2	1	0.653	16
329.012	2	1	0	-46
333.01	2	1	0	60
339.008	2	1	0	58
346.005	2	1	0	-12
351.003	2	1	0	2
356.001	2	1	0	42
360.016	2	1	0.667	-20
367.014	2	1	0	-14
371.012	2	1	0	-12
376.01	2	1	0	-22
383.008	2	1	0	59
388.006	2	1	0	-46
395.003	2	1	0	18
399.002	2	1	0	16
404.016	2	1	0	48
409.015	2	1	0	58
413.013	2	1	0	-44
419.011	2	1	0	10
423.009	2	1	0	34
429.007	2	1	1.005	40
433.005	2	1	0	8
440.003	2	1	0	-57
446.017	2	1	0	-55
453.015	2	1	0	-20
460.012	2	1	0.84	-44
464.01	2	1	0	32
468.009	2	1	0	-6
473.007	2	1	0.708	51
480.004	2	1	0	-4
484.003	2	1	0	-56
489.017	2	1	0	26
493.016	2	1	0	40
497.015	2	1	0	-30
503.012	2	1	0	-38
508.01	2	0	0	-49
513.008	2	1	0	-28
517.007	2	1	0	60
522.005	2	1	0	-36
528.003	2	1	0	24
532.018	2	1	0	60
536.016	2	1	0	-56
542.014	2	1	0	-20
547.012	2	1	0	58
554.009	2	1	0	-4
560.007	2	1	0	24
567.005	2	1	0	-14
571.003	2	1	0	-46
575.002	2	1	0	32
579.017	2	1	0	-28
583.015	2	1	0	2
590.013	2	1	0	-12
595.011	2	1	0	26
599.009	2	1	0	16
606.006	2	1	0	-55
612.004	2	1	0	8
616.003	2	1	0	-30
620.018	2	1	0	-6
627.015	2	1	0	34
633.013	2	1	0	-22
637.011	2	1	0	10
641.01	2	1	0	48
648.007	2	1	0	40
652.006	2	1	0	42
657.004	2	1	0	18
661.002	2	1	0	-38
665.017	2	1	0	-36
670.015	2	1	0	-57
675.014	2	1	0	-44
682.011	2	1	0	59
