onset	duration	accuracy	response_time	image
12.007	2	0	0	56
14.056	2	1	0.716	-37
18.004	2	1	0.68	-38
20.07	2	1	0.797	40
26.001	2	0	1.264	58
30.016	2	1	0.794	33
32.082	2	1	0.72	34
34.148	2	1	0.808	-35
38.013	2	0	1.942	-41
40.079	2	1	0.022	42
46.01	2	1	0.666	-43
52.008	2	0	0.97	-37
56.007	2	1	0.668	-38
58.072	2	1	0.476	39
60.138	2	0	1.378	45
66.003	2	1	0.854	-46
68.069	2	1	0.839	48
74.016	2	1	1.914	-55
80.014	2	1	1.34	29
86.012	2	1	1.277	-30
88.078	2	1	0.534	31
92.01	2	1	1.442	-57
98.007	2	1	0.756	-25
100.073	2	1	1.256	26
102.139	2	1	0.904	-27
104.205	2	1	0.998	-59
106.271	2	1	1.413	45
108.337	2	1	1.06	-46
114.001	2	1	1.587	47
116.067	2	1	0.694	33
120.016	2	1	0.708	34
122.081	2	1	0.792	-36
126.013	2	1	0.668	-25
130.012	2	0	0	26
132.061	2	0	0.277	-28
136.01	2	1	0.896	60
138.075	2	1	0.631	-41
140.141	2	1	0.869	42
144.006	2	1	0.852	-44
146.089	2	1	0.721	29
152.003	2	0	0	-30
154.053	2	1	0.612	32
156.119	2	1	0.532	33
162.016	2	1	0.713	34
164.082	2	1	0.575	-36
170.013	2	0	0	-59
172.079	2	1	0.907	45
174.145	2	1	0.681	-46
178.01	2	1	0.688	47
180.076	2	1	1.142	-57
186.007	2	1	0.893	-41
188.073	2	1	0.505	42
190.139	2	1	0.529	-43
192.205	2	1	0.559	60
196.004	2	1	1.464	-37
198.053	2	1	0.695	-38
202.018	2	1	0.753	40
206.016	2	0	1.664	33
210.015	2	1	0.61	34
216.012	2	1	1.071	-35
222.01	2	1	0.593	56
228.008	2	1	0.658	-25
232.006	2	1	0.542	26
234.072	2	1	0.66	-28
236.155	2	0	1.696	-55
238.221	2	1	0.75	29
242.003	2	1	0.352	-30
244.085	2	1	0.598	31
250.016	2	1	1.465	58
254.015	2	1	0.994	45
256.097	2	1	0.714	-46
262.012	2	1	0.592	48
264.094	2	1	0.595	-41
270.009	2	1	1.633	42
272.091	2	1	0.569	-44
274.174	2	1	0.686	29
278.006	2	1	0.915	-30
280.088	2	1	0.673	32
284.003	2	1	0.576	-25
290.018	2	1	0.615	26
292.1	2	1	0.976	-27
294.183	2	0	0.763	-37
300.014	2	1	0.766	-38
302.08	2	1	0.548	39
