onset	duration	accuracy	response_time	image
12.012	2	0	0	58
14.061	2	1	0.628	-25
16.127	2	1	0.626	26
20.009	2	1	0.714	-27
26.007	2	1	0.651	33
30.005	2	0	0.612	34
32.071	2	1	0.917	-36
38.002	2	0	0.927	-57
40.068	2	0	1.677	-37
42.134	2	1	1.085	-38
46.016	2	1	0.804	39
50.014	2	1	0.867	-55
56.012	2	0	0.632	-41
58.078	2	0	1.34	42
64.009	2	1	0.864	-43
70.007	2	1	1.066	33
74.005	2	0	0.636	34
80.003	2	1	0.792	-35
82.069	2	1	1.167	60
88.016	2	1	1.353	29
90.082	2	1	0.8	-30
92.132	2	1	0.856	32
94.197	2	1	1.462	-56
96.263	2	1	1.332	45
100.012	2	1	0.718	-46
102.078	2	1	0.861	47
104.144	2	1	0.924	-25
110.008	2	1	1.34	26
116.006	2	1	0.788	-28
120.004	2	1	0.613	59
122.07	2	1	0.814	-41
126.002	2	1	0.703	42
130.017	2	1	0.872	-44
132.083	2	1	1.441	-37
134.149	2	1	0.895	-38
136.215	2	1	0.638	40
140.013	2	0	1.251	29
142.079	2	1	1.507	-30
146.011	2	1	1.934	31
152.009	2	1	0.746	45
158.007	2	1	1.506	-46
162.005	2	1	0.655	48
164.071	2	1	0.771	-57
166.137	2	1	0.969	-37
168.203	2	1	0.745	-38
172.001	2	1	0.53	39
174.067	2	1	0.711	33
176.133	2	0	0.767	34
182.014	2	1	1.052	-35
184.08	2	1	1.675	-25
188.012	2	1	1.526	26
190.078	2	1	0.684	-27
192.144	2	1	0.77	58
194.209	2	1	1.519	-41
200.007	2	1	0.717	42
206.005	2	1	0.748	-44
208.071	2	1	0.604	59
210.137	2	0	1.386	29
212.203	2	1	0.984	-30
216.018	2	1	0.671	32
218.084	2	1	1.351	45
222.015	2	1	1.081	-46
224.098	2	1	0.76	47
230.013	2	0	0.663	-41
234.011	2	1	0.71	42
236.093	2	1	0.934	-43
240.009	2	0	0	-56
242.075	2	1	0.04	-37
244.157	2	1	1.022	-38
250.005	2	1	0.66	40
252.087	2	0	1.14	60
256.003	2	1	1.233	29
262.017	2	1	0.746	-30
266.016	2	1	1.261	31
268.098	2	1	0.922	45
274.012	2	1	0.774	-46
276.095	2	1	0.637	48
278.178	2	1	0.688	33
284.009	2	0	1.874	34
286.091	2	1	0.776	-36
292.006	2	1	1.659	-55
294.088	2	0	0.876	-25
300.003	2	1	0.696	26
302.085	2	1	0.623	-28
