onset	duration	accuracy	response_time	image
12.017	2	0	0	-57
14.066	2	1	0.711	45
18.014	2	1	1.26	-46
20.08	2	1	0.706	48
26.011	2	0	1.278	-56
28.077	2	1	0.685	33
32.009	2	0	1.224	34
34.058	2	1	1.08	-35
38.007	2	0	1.845	-25
44.004	2	1	1.016	26
46.07	2	1	0.7	-28
52.001	2	0	1.52	-41
56.017	2	1	0.723	42
58.082	2	1	1.713	-43
64.014	2	1	1.166	60
70.011	2	0	1.793	29
74.01	2	1	1.032	-30
80.007	2	1	0.876	31
82.073	2	1	0.655	-25
84.139	2	1	0.693	26
88.004	2	1	1.199	-27
92.003	2	1	0.712	59
96.001	2	1	0.922	-41
98.067	2	1	0.638	42
100.133	2	0	0.58	-44
104.015	2	1	0.898	-55
106.081	2	0	1.019	-37
112.012	2	1	1.471	-38
114.078	2	1	1.115	39
116.127	2	1	0.837	45
118.193	2	1	0.93	-46
124.007	2	1	1.38	47
128.006	2	1	0.774	33
134.004	2	0	0.878	34
140.001	2	1	0.979	-36
144.016	2	1	0.898	58
150.014	2	1	0.931	-37
156.012	2	0	1.877	-38
160.01	2	1	0.793	40
164.009	2	0	1.187	29
166.075	2	1	1.145	-30
168.141	2	1	0.606	32
170.207	2	1	0.731	-56
172.272	2	0	0.794	-37
178.003	2	1	0.991	-38
180.069	2	1	0.662	40
186.017	2	0	0.955	29
188.083	2	1	1.04	-30
190.149	2	1	0.668	31
196.013	2	1	0.899	58
198.079	2	1	0.77	-25
200.145	2	1	1.579	26
206.01	2	1	1.042	-28
208.075	2	1	1.199	33
210.141	2	0	0.838	34
216.006	2	1	1.084	-35
218.072	2	0	0.62	-55
220.138	2	0	1.303	-41
222.203	2	1	1.783	42
224.253	2	1	0.662	-43
226.319	2	1	0.779	-57
230.017	2	1	0.681	45
232.083	2	1	0.599	-46
234.149	2	1	0.661	48
236.231	2	1	0.65	59
240.013	2	1	0.614	33
246.011	2	0	1.304	34
250.01	2	1	0.672	-36
252.092	2	0	1.535	60
256.007	2	0	1.861	-41
260.006	2	1	1.102	42
264.004	2	0	0	-44
270.002	2	1	1.192	-37
276.016	2	1	1.073	-38
280.015	2	1	1.635	39
282.097	2	1	1.121	29
284.18	2	1	0.784	-30
290.011	2	1	0.793	32
292.094	2	1	1.166	45
294.16	2	1	1.322	-46
296.242	2	1	1.249	47
298.325	2	1	0.918	-25
302.006	2	1	0.797	26
304.089	2	1	1.385	-27
