onset	duration	accuracy	response_time	image
12.009	2	0	0	-9
16.008	2	0	1.041	10
22.006	2	1	0.885	-11
24.071	2	1	0.69	54
28.003	2	1	0.632	-5
34.018	2	1	0.695	-6
36.083	2	1	0.75	7
42.015	2	1	0.754	-49
44.08	2	1	0.969	13
50.012	2	1	0.894	-14
52.077	2	1	0.846	16
58.009	2	0	0.633	52
60.074	2	1	0.751	1
64.006	2	0	0.579	2
70.004	2	1	0.581	-3
72.07	2	0	1.333	-21
74.136	2	1	0.957	-22
80.017	2	1	0.76	23
82.083	2	0	0.769	17
84.132	2	1	0.478	18
86.198	2	1	0.807	-19
88.264	2	1	0.924	51
92.012	2	1	0.728	1
94.078	2	0	0.62	2
100.009	2	1	1.104	-4
106.007	2	0	0.868	-53
108.073	2	1	0.915	13
110.139	2	1	0.71	-14
112.205	2	1	0.662	15
116.003	2	0	0.735	17
122.017	2	1	0.675	18
124.083	2	1	0.624	-20
128.015	2	0	1.275	-50
130.081	2	1	0.962	-21
132.147	2	1	0.783	-22
138.011	2	1	1.024	24
140.061	2	1	0.888	-9
142.127	2	0	0.907	10
148.008	2	1	0.746	-12
154.005	2	0	0.943	-5
158.004	2	1	1.007	-6
160.07	2	1	0.997	8
162.136	2	1	0.698	1
166.017	2	0	0.488	2
168.083	2	1	1.085	-3
174.014	2	1	0.845	13
180.012	2	1	0.462	-14
184.011	2	1	0.759	16
188.009	2	1	1.067	-21
190.075	2	1	0.943	-22
194.007	2	1	0.572	24
198.005	2	1	0.598	54
200.071	2	1	0.515	-5
204.003	2	1	0.551	-6
206.069	2	1	0.749	8
210.017	2	0	0.811	52
212.083	2	0	0.67	17
218.014	2	1	0.691	18
222.013	2	1	0.639	-20
224.079	2	1	0.668	51
226.161	2	0	0.93	13
228.244	2	1	0.831	-14
232.009	2	1	0.768	15
234.092	2	1	0.646	-49
238.007	2	1	1.021	-9
242.005	2	0	0.844	10
244.088	2	1	0.961	-11
246.17	2	1	0.649	1
248.253	2	0	0.909	2
250.335	2	1	0.649	-4
256.017	2	0	0.841	-50
260.015	2	0	0.842	17
262.098	2	1	0.953	18
266.013	2	1	0.924	-19
272.011	2	0	0.817	-9
274.093	2	0	0.693	10
276.176	2	1	0.809	-12
282.007	2	0	0.461	-21
284.089	2	1	0.722	-22
288.005	2	1	0.535	23
290.087	2	1	0.668	-53
296.002	2	1	0.841	-5
302.016	2	1	0.753	-6
304.098	2	1	0.895	7
