onset	duration	accuracy	response_time	image
12.013	2	1	0	-19
16.011	2	1	0	-27
22.009	2	1	0	-11
26.007	2	1	0	23
33.005	2	1	0	47
37.003	2	1	0	-21
42.018	2	1	0.743	-5
49.015	2	1	0	52
54.013	2	1	0	-49
59.012	2	1	0	54
63.01	2	1	1.025	-21
69.008	2	1	0	-25
74.006	2	1	0	7
78.004	2	1	0	51
82.003	2	1	0.623	29
86.018	2	1	0	-5
93.015	2	1	0	1
97.014	2	1	0	45
101.012	2	1	0	-43
105.011	2	1	0	-50
111.008	2	1	0	39
118.006	2	0	1.741	15
122.004	2	1	0	-3
126.003	2	1	0	-35
130.018	2	1	0	-9
135.016	2	1	0	13
139.014	2	1	0	33
143.013	2	1	0	31
147.011	2	1	0	-53
154.009	2	1	0	29
160.007	2	1	0	17
166.004	2	1	0	-37
172.019	2	1	0	-41
176.017	2	1	0	-19
182.015	2	1	0	-41
187.013	2	1	0	-27
191.011	2	1	0	1
195.01	2	1	0	29
200.008	2	1	0	45
206.006	2	1	0	13
210.004	2	1	0	54
215.002	2	1	0	23
222.016	2	0	1.195	-49
227.014	2	1	0.973	45
234.012	2	1	0	-37
238.01	2	1	0	-21
243.008	2	1	0	-53
250.006	2	1	0	15
254.004	2	1	0	52
261.002	2	1	0	17
265.017	2	1	0	51
270.015	2	1	0	47
277.012	2	1	0	-25
283.01	2	1	0	-9
288.008	2	1	0	39
293.006	2	1	0	-11
297.005	2	1	0	33
302.003	2	1	0	-5
306.001	2	1	0	-50
312.016	2	1	0	-35
318.013	2	1	0	31
324.011	2	1	0	-3
331.008	2	1	0.784	-19
335.007	2	1	0	7
339.005	2	1	0	-43
346.003	2	1	0	-49
352.017	2	1	0	-9
357.015	2	1	0.764	-3
362.013	2	1	0	7
368.011	2	1	0	33
372.009	2	1	0	51
379.007	2	1	0	-21
385.005	2	1	0	-53
389.003	2	1	0.816	-43
395.017	2	1	0	-5
399.016	2	1	0	15
404.014	2	1	0	23
408.013	2	1	0	13
412.011	2	1	0	-41
416.009	2	1	0	31
423.007	2	1	0	-19
430.004	2	1	0	-3
437.001	2	1	0	-35
444.015	2	1	0	-43
449.014	2	1	0	29
453.012	2	1	0	-25
457.011	2	1	0	52
464.008	2	1	0	-11
469.006	2	1	0	-50
476.003	2	1	0	45
480.002	2	1	0	-37
484.017	2	1	0	-27
490.015	2	1	0	39
496.012	2	1	0	17
502.01	2	1	0	47
508.008	2	1	0	54
512.006	2	1	0	1
518.004	2	1	0	17
523.002	2	1	0	15
530.016	2	1	0	7
535.014	2	1	0	23
541.012	2	1	0	52
548.009	2	1	0	-37
552.008	2	1	0	-5
559.005	2	1	0	47
564.003	2	1	0	31
568.002	2	1	0	-3
573.016	2	1	0	-35
577.015	2	1	0	51
583.013	2	1	0	-19
587.011	2	1	0	-49
591.01	2	1	0	-27
595.008	2	1	0	-43
599.007	2	1	0	39
606.004	2	1	0	-9
613.018	2	1	0.809	-27
619.016	2	1	0	33
623.014	2	1	0	-50
627.013	2	1	0.695	52
633.01	2	1	0	29
639.008	2	1	0	45
644.006	2	1	0.788	-50
649.004	2	1	0	-53
656.002	2	1	0	54
660.017	2	1	0	-21
665.015	2	1	0	1
669.013	2	1	0	-41
673.012	2	1	0	-25
680.009	2	1	0	13
684.008	2	1	0	-11
