onset	duration	accuracy	response_time	image
12.017	2	0	0	17
14.066	2	1	0.642	18
18.014	2	1	0.564	-20
22.013	2	1	0.988	53
24.079	2	0	1.684	13
30.01	2	1	0.959	-14
32.076	2	1	0.797	16
36.007	2	1	0.716	-52
38.073	2	0	1.106	-5
40.139	2	0	0.641	-6
42.205	2	1	0.821	7
46.004	2	1	0.677	-21
48.07	2	0	0.861	-22
52.001	2	1	0.618	24
58.016	2	0	1.658	49
60.082	2	1	1.32	13
64.014	2	1	0.613	-14
66.079	2	1	1.113	15
68.145	2	1	1.291	1
72.011	2	0	1.361	2
74.076	2	1	0.941	-3
80.008	2	1	1.284	50
84.006	2	1	0.724	-5
90.004	2	0	0.686	-6
92.07	2	1	0.837	8
96.001	2	1	0.618	-9
102.016	2	1	0.65	10
104.082	2	1	0.865	-12
106.148	2	1	1.415	-51
112.012	2	1	0.694	1
118.01	2	0	1.735	2
120.076	2	1	0.79	-4
122.141	2	0	1.469	-54
124.207	2	1	0.885	17
130.005	2	1	0.58	18
134.004	2	1	0.75	-19
136.07	2	0	1.262	-21
138.135	2	0	1.066	-22
142.017	2	1	0.713	23
144.083	2	1	0.609	-9
148.015	2	1	0.885	10
150.064	2	1	1.642	-11
156.012	2	1	0.877	1
160.01	2	0	1.4	2
162.076	2	1	0.781	-3
164.142	2	1	1.291	53
168.007	2	1	0.845	-5
174.005	2	0	0.703	-6
178.004	2	1	1.046	8
182.002	2	1	0.767	-21
184.068	2	0	1.286	-22
190.016	2	1	0.717	23
196.013	2	0	1.053	49
200.012	2	1	1.247	13
206.01	2	1	0.97	-14
208.076	2	1	1.319	16
212.007	2	0	1.525	50
218.005	2	1	0.724	-9
224.003	2	1	0.664	10
226.069	2	1	0.893	-12
228.135	2	1	1.021	17
234.016	2	1	0.698	18
236.098	2	1	1.663	-19
238.181	2	1	0.807	-52
240.263	2	0	0.747	-5
242.346	2	0	0.967	-6
246.011	2	1	0.944	7
248.094	2	1	0.556	-9
252.009	2	1	0.616	10
254.091	2	1	0.686	-11
260.006	2	0	0	-54
262.072	2	0	0.106	1
268.003	2	0	1.288	2
270.085	2	1	0.74	-4
276.016	2	0	1.442	-21
278.099	2	0	0.849	-22
284.013	2	1	0.637	24
286.096	2	1	0.635	-51
292.01	2	1	1.28	17
294.093	2	1	0.646	18
296.175	2	1	0.892	-20
298.258	2	1	0.688	13
302.007	2	1	1.477	-14
304.072	2	1	0.811	15
