onset	duration	accuracy	response_time	image
12.012	2	0	0	45
14.061	2	1	0.566	-46
20.009	2	1	0.921	48
22.075	2	0	0.937	60
28.006	2	1	1.219	-41
30.072	2	1	0.586	42
32.138	2	0	1.416	-44
38.002	2	1	1.337	-59
40.068	2	1	0.549	-25
44.017	2	1	0.699	26
48.015	2	1	0.708	-28
52.014	2	0	0.765	-37
54.08	2	1	0.483	-38
56.146	2	1	0.52	39
58.211	2	1	0.829	45
60.277	2	1	0.476	-46
62.343	2	1	0.5	47
66.008	2	1	0.691	55
72.006	2	0	0.949	33
78.004	2	1	0.599	34
80.07	2	1	0.406	-36
82.136	2	1	0.916	29
84.201	2	1	0.609	-30
90.016	2	1	1.163	31
92.082	2	1	0.522	-57
98.013	2	0	1.543	-41
102.011	2	1	0.718	42
104.077	2	1	1.277	-43
108.009	2	0	1.058	-58
112.008	2	1	0.643	33
118.005	2	1	0.342	34
122.004	2	1	0.686	-35
128.002	2	1	0.769	56
130.067	2	0	1.424	29
136.015	2	1	1.306	-30
140.014	2	1	0.694	32
144.012	2	1	0.829	-37
146.078	2	1	0.659	-38
148.144	2	1	0.546	40
150.21	2	1	0.585	-25
154.008	2	1	0.529	26
156.074	2	1	0.945	-27
158.14	2	1	0.582	29
160.206	2	1	0.548	-30
166.004	2	1	0.693	31
172.002	2	1	0.735	45
174.067	2	1	0.576	-46
180.015	2	1	0.786	47
182.081	2	1	1.001	55
188.012	2	1	0.702	-41
194.01	2	1	0.738	42
198.008	2	1	1.202	-44
200.074	2	1	0.672	56
206.005	2	1	1.126	29
208.071	2	1	0.524	-30
210.137	2	1	0.594	32
212.203	2	1	0.736	-37
216.002	2	1	0.546	-38
222.016	2	1	0.554	40
226.014	2	1	0.894	-59
230.013	2	1	0.598	-25
236.011	2	1	0.609	26
240.009	2	1	1.193	-27
242.075	2	1	1.414	-58
244.141	2	1	1.548	-41
248.006	2	1	0.637	42
250.088	2	1	0.848	-43
252.171	2	1	1.065	60
258.002	2	1	0.657	33
260.085	2	1	0.71	34
262.167	2	1	0.635	-36
264.25	2	0	1.136	-37
266.332	2	1	0.509	-38
268.415	2	1	0.507	39
274.013	2	1	0.604	-57
276.095	2	0	0.412	-25
280.01	2	1	0.545	26
282.093	2	1	0.644	-28
284.176	2	1	0.522	33
286.258	2	1	0.711	34
290.007	2	1	0.605	-35
294.005	2	1	0.532	45
300.003	2	1	0.624	-46
302.086	2	1	0.653	48
