onset	duration	accuracy	response_time	image
12.005	2	0	0	45
16.003	2	1	0.654	-46
22.018	2	1	0.667	48
24.084	2	1	1.009	59
28.015	2	1	0.661	-37
34.013	2	1	0.679	-38
36.079	2	1	0.724	39
42.01	2	1	0.521	60
44.059	2	1	0.848	-25
50.007	2	0	0.932	26
52.073	2	1	1.425	-27
58.004	2	1	0.688	-41
60.07	2	1	0.572	42
64.002	2	1	1.227	-43
70.016	2	0	1.027	-58
72.082	2	0	1.065	45
74.148	2	0	0.024	-46
80.012	2	1	0.6	47
82.078	2	0	1.101	33
84.144	2	0	0.841	34
86.21	2	1	0.698	-35
88.276	2	1	1.006	55
92.008	2	1	0.764	-41
94.074	2	1	0.609	42
100.005	2	1	0.718	-44
106.002	2	0	1.36	-57
108.068	2	0	0.824	-25
110.134	2	0	0.884	26
112.2	2	1	0.699	-28
116.015	2	1	0.626	29
122.013	2	1	0.559	-30
124.079	2	1	0.797	32
128.011	2	1	0.705	-56
130.077	2	0	0.685	-37
132.143	2	1	0.627	-38
138.007	2	1	0.619	40
140.073	2	0	0.699	33
142.139	2	0	0.743	34
148.003	2	1	1.209	-36
154.018	2	1	0.538	29
158.016	2	1	0.874	-30
160.082	2	1	0.946	31
162.148	2	1	0.557	29
166.013	2	1	0.535	-30
168.079	2	1	0.867	31
174.01	2	1	0.659	60
180.008	2	1	0.669	-25
184.006	2	0	0.635	26
188.005	2	0	1.845	-27
190.071	2	0	0.731	-57
194.002	2	0	0.913	-37
198.017	2	1	0.579	-38
200.083	2	1	0.375	39
204.015	2	1	1.701	33
206.081	2	0	0.794	34
210.013	2	1	0.702	-35
212.079	2	1	1.252	45
218.01	2	1	1.097	-46
222.008	2	1	0.634	47
224.074	2	1	0.682	-41
226.157	2	1	0.8	42
228.239	2	1	0.786	-43
232.005	2	1	1.485	-58
234.087	2	0	0.812	-37
238.002	2	1	0.575	-38
242.018	2	1	0.779	40
244.1	2	1	0.968	-56
246.183	2	1	0.915	33
248.265	2	0	0.753	34
250.331	2	1	0.657	-36
256.012	2	1	1.111	55
260.011	2	1	1.417	-25
262.077	2	0	0.582	26
266.008	2	1	0.385	-28
272.006	2	1	0.525	45
274.089	2	1	0.546	-46
276.171	2	1	0.671	48
282.002	2	1	1.248	59
284.085	2	1	0.606	-41
288.017	2	1	0.626	42
290.099	2	1	0.655	-44
296.014	2	1	0.644	29
302.011	2	1	0.728	-30
304.094	2	1	0.773	32
