onset	duration	accuracy	response_time	image
12.006	2	0	0	-56
16.005	2	1	0.853	33
18.071	2	1	0.754	34
20.137	2	1	0.731	-35
24.019	2	1	0.662	29
26.084	2	1	0.645	-30
28.15	2	1	0.572	31
30.216	2	1	0.698	59
32.265	2	1	0.666	-37
36.014	2	0	0.987	-38
38.08	2	1	0.724	40
42.012	2	1	0.629	-25
44.078	2	1	0.589	26
46.143	2	1	0.564	-28
48.209	2	0	0.639	-57
50.275	2	1	0.8	-41
52.341	2	1	0.678	42
54.407	2	1	0.652	-43
60.005	2	1	0.708	29
62.054	2	1	0.547	-30
68.018	2	1	0.961	32
74.016	2	0	0.971	33
76.082	2	1	0.608	34
80.014	2	1	0.851	-36
86.012	2	1	1.07	55
90.01	2	1	0.721	45
92.076	2	1	0.608	-46
94.142	2	1	0.638	48
96.208	2	0	0.537	58
98.274	2	0	0.634	-41
104.005	2	1	0.646	42
106.071	2	1	0.588	-44
112.002	2	0	1.049	-60
116.017	2	1	0.834	-25
118.083	2	1	0.576	26
122.015	2	1	0.739	-27
128.012	2	1	0.662	45
134.01	2	1	0.896	-46
136.076	2	1	0.568	47
138.142	2	1	0.525	-37
142.007	2	0	1.004	-38
144.073	2	0	0.666	39
146.139	2	1	0.598	-41
152.003	2	1	0.822	42
156.002	2	1	0.848	-43
158.068	2	0	1.053	-60
164.015	2	1	1.18	-25
166.081	2	1	0.503	26
168.147	2	1	0.527	-28
172.012	2	1	0.599	59
176.011	2	1	0.734	45
178.077	2	1	0.54	-46
182.009	2	1	0.899	47
186.007	2	1	0.868	-57
190.006	2	1	0.59	29
196.003	2	1	0.703	-30
200.002	2	1	0.962	32
202.068	2	1	0.639	-41
206.016	2	1	0.7	42
208.099	2	1	1.048	-44
210.165	2	0	0.982	-37
212.23	2	0	0.699	-38
218.012	2	1	0.808	39
224.009	2	1	1.026	33
226.092	2	1	0.725	34
232.006	2	1	1.277	-35
236.005	2	1	1.055	55
238.087	2	1	0.724	45
244.002	2	1	0.689	-46
246.084	2	1	0.589	48
252.015	2	1	1.202	58
258.013	2	1	0.773	-25
260.096	2	1	0.564	26
266.01	2	1	0.64	-27
268.093	2	0	0.989	-37
272.008	2	0	1.369	-38
278.005	2	1	0.758	40
280.088	2	1	0.604	-56
282.171	2	1	0.926	33
284.253	2	1	0.863	34
290.018	2	1	0.962	-36
296.015	2	1	0.796	29
298.098	2	1	0.632	-30
302.013	2	1	0.702	31
