onset	duration	accuracy	response_time	image
12.003	2	0	0	52
16.002	2	1	0.546	-9
20.017	2	1	0.632	10
22.083	2	1	0.856	-11
28.014	2	1	0.652	13
30.08	2	1	0.652	-14
32.146	2	1	0.681	15
34.212	2	1	0.669	-5
40.009	2	0	0.875	-6
42.075	2	1	0.846	8
48.006	2	1	0.515	-51
54.004	2	0	0	-21
58.003	2	0	0.904	-22
64.017	2	1	0.96	24
66.083	2	1	0.657	-54
70.015	2	0	1.244	17
72.081	2	1	1.338	18
76.012	2	1	0.718	-20
78.078	2	1	0.771	13
82.01	2	1	0.81	-14
84.076	2	1	1.053	16
90.007	2	0	1.354	1
96.005	2	0	1.62	2
100.003	2	1	1.16	-4
102.069	2	0	1.709	-49
106.018	2	1	1.698	-21
108.084	2	0	0.863	-22
114.015	2	1	1.181	23
116.081	2	0	0.571	17
122.012	2	1	0.728	18
126.01	2	1	0.642	-19
132.008	2	1	0.93	50
134.074	2	0	1.12	1
136.14	2	0	0.887	2
140.005	2	1	0.997	-3
144.003	2	0	0.718	-9
150.018	2	1	1.194	10
152.084	2	1	0.71	-12
154.149	2	1	0.661	53
156.215	2	1	0.593	-5
158.281	2	0	0.986	-6
160.347	2	1	0.79	7
162.413	2	1	0.566	-51
164.479	2	0	1.746	-21
166.545	2	0	0.945	-22
168.611	2	1	1.729	23
172.009	2	1	1.217	-49
176.008	2	0	0	-9
180.006	2	1	1.254	10
182.072	2	1	1.202	-11
184.138	2	1	0.648	1
186.204	2	0	0.989	2
188.27	2	1	0.691	-3
194.018	2	0	1.834	-54
198.016	2	1	0.795	13
202.015	2	1	1.006	-14
208.012	2	1	0.949	16
210.078	2	1	0.829	-21
214.01	2	0	1.009	-22
216.076	2	1	0.75	24
218.158	2	1	1.707	52
222.007	2	0	1.268	17
224.09	2	1	0.519	18
226.172	2	1	0.696	-20
228.255	2	1	0.829	1
234.002	2	0	1.121	2
236.085	2	1	0.861	-4
238.168	2	0	1.819	-5
244.015	2	0	1.522	-6
248.014	2	1	0.83	8
250.096	2	1	0.883	-9
256.011	2	1	1.752	10
258.093	2	1	0.716	-12
262.008	2	1	1.425	17
268.006	2	1	0.939	18
270.089	2	0	0.045	-19
272.171	2	1	0.696	50
278.002	2	0	1.007	13
280.085	2	1	0.831	-14
286.016	2	1	0.739	15
292.014	2	0	1.005	53
294.096	2	1	0.835	-5
296.179	2	0	0.745	-6
300.011	2	1	0.76	7
