onset	duration	accuracy	response_time	image
12.004	2	0	0	49
14.053	2	1	0.764	-9
16.119	2	1	0.57	10
20.017	2	1	0.489	-11
26.015	2	0	0.618	-5
32.013	2	1	0.565	-6
36.011	2	1	0.615	7
38.077	2	1	1.108	13
40.143	2	1	0.917	-14
44.008	2	1	0.465	16
48.007	2	0	1.282	-52
50.073	2	0	0.025	1
52.138	2	1	1.209	2
56.004	2	1	0.655	-3
58.07	2	1	0.62	51
64.017	2	1	1.227	17
66.083	2	0	1.088	18
70.015	2	1	0.611	-19
76.013	2	0	0.421	-21
78.079	2	1	0.782	-22
84.01	2	1	0.625	24
86.075	2	1	0.657	-50
92.007	2	0	0.779	-9
98.004	2	1	0.415	10
102.003	2	1	0.536	-12
104.069	2	1	1.088	-53
106.135	2	1	0.986	17
112.016	2	0	0.433	18
116.014	2	1	0.798	-20
122.012	2	0	0.791	-5
124.078	2	1	0.876	-6
128.01	2	1	0.874	8
130.076	2	0	1.287	54
132.141	2	1	0.852	13
138.006	2	1	0.503	-14
142.004	2	1	0.912	15
144.07	2	1	0.741	-21
146.136	2	1	0.682	-22
152.017	2	1	0.587	23
156.016	2	0	0.69	1
158.082	2	1	0.72	2
162.013	2	1	0.967	-4
168.011	2	1	0.865	-21
170.077	2	1	0.708	-22
174.009	2	1	0.578	23
178.007	2	0	0.706	-9
184.005	2	1	0.368	10
186.071	2	1	0.666	-12
190.003	2	1	0.622	51
192.069	2	0	1.151	1
194.134	2	1	1.179	2
200.016	2	1	0.531	-4
202.081	2	1	0.712	17
208.013	2	0	0.412	18
210.079	2	1	0.659	-20
212.144	2	1	0.769	49
216.01	2	1	0.552	-5
218.076	2	0	0.761	-6
220.158	2	1	1.364	8
224.007	2	1	1.213	-50
230.004	2	1	0.686	13
236.002	2	1	0.696	-14
238.085	2	1	1.111	15
242.016	2	1	1.035	54
248.014	2	1	0.796	1
250.097	2	1	1.184	2
256.011	2	1	0.681	-3
260.01	2	0	0.703	-52
266.007	2	1	0.724	-21
268.09	2	1	1.074	-22
272.005	2	1	0.581	24
274.088	2	1	1.665	17
276.17	2	0	0.647	18
278.253	2	1	0.751	-19
280.335	2	0	0.9	-5
286.016	2	1	0.722	-6
288.082	2	1	0.698	7
292.014	2	0	1.15	-9
294.097	2	1	0.706	10
296.179	2	1	0.655	-11
298.262	2	1	0.75	-53
300.344	2	1	1.068	13
302.427	2	1	0.754	-14
304.509	2	1	0.836	16
