onset	duration	accuracy	response_time	image
12.009	2	0	0	-5
16.008	2	1	0.78	-6
18.074	2	1	0.584	7
20.14	2	1	0.576	54
24.005	2	1	0.892	-9
30.003	2	0	0.622	10
34.018	2	1	0.89	-11
40.015	2	0	0.604	-50
46.013	2	1	0.564	1
48.079	2	0	0.613	2
50.145	2	1	0.555	-4
52.211	2	0	1.35	-21
54.277	2	1	0.613	-22
58.009	2	1	0.683	23
60.075	2	1	0.614	-53
66.006	2	1	1.101	13
68.072	2	1	0.521	-14
74.003	2	1	1.071	16
76.068	2	1	0.501	-5
78.134	2	1	0.443	-6
80.2	2	1	0.738	8
82.266	2	0	1.082	52
84.332	2	0	0.997	17
90.013	2	1	0.367	18
94.012	2	1	1.19	-19
100.009	2	1	0.554	1
106.007	2	0	0.73	2
108.073	2	1	0.619	-3
110.139	2	0	1.201	-21
116.003	2	1	1.721	-22
120.002	2	1	0.656	24
122.068	2	0	1.064	51
126.016	2	1	1.819	13
130.015	2	1	0.651	-14
136.012	2	1	0.984	15
140.011	2	1	0.814	-9
142.077	2	0	0.71	10
146.009	2	0	0.768	-12
152.006	2	0	1.147	-49
154.089	2	1	1.37	17
156.155	2	1	0.831	18
160.003	2	1	0.678	-20
162.069	2	1	1.156	17
168.017	2	1	0.907	18
170.083	2	1	0.888	-19
172.165	2	1	0.653	54
174.231	2	0	0.699	1
176.297	2	0	0.555	2
180.012	2	1	1.06	-4
182.078	2	0	0.867	-21
184.144	2	1	0.611	-22
186.21	2	1	0.623	23
190.009	2	1	0.624	-5
192.074	2	1	0.607	-6
198.006	2	1	0.963	8
200.071	2	0	0.682	52
204.003	2	1	0.949	-9
206.086	2	0	0.652	10
208.152	2	1	0.69	-12
210.234	2	0	0.767	-21
216.015	2	1	0.554	-22
218.098	2	1	0.584	24
220.18	2	0	0.952	51
224.012	2	0	1.624	13
228.011	2	1	0.633	-14
230.093	2	1	0.66	15
234.009	2	1	0.578	-50
238.007	2	1	0.899	1
244.005	2	0	0.694	2
248.003	2	0	1.174	-3
250.086	2	1	0.923	-5
254.018	2	1	0.626	-6
260.015	2	1	0.545	7
266.013	2	1	0.765	-53
272.011	2	1	0.511	13
274.093	2	1	0.583	-14
276.176	2	1	0.621	16
282.007	2	1	0.602	-49
288.005	2	0	1.695	-9
294.002	2	0	0.586	10
296.085	2	1	0.676	-11
300.017	2	1	0.641	17
302.099	2	1	0.638	18
304.182	2	1	0.669	-20
