onset	duration	accuracy	response_time	image
12.015	2	0	0	1
18.013	2	0	0.453	2
20.079	2	1	0.659	-3
22.144	2	1	0.57	17
24.21	2	1	0.554	18
30.008	2	1	0.796	-19
36.006	2	0	1.644	-21
38.072	2	1	0.748	-22
42.004	2	1	0.824	24
48.001	2	1	1.664	-5
52.016	2	1	0.736	-6
54.082	2	1	0.84	8
60.013	2	1	0.67	-50
64.012	2	1	0.576	13
68.01	2	1	0.736	-14
70.076	2	1	0.716	15
74.008	2	1	0.952	-53
76.074	2	0	1.033	-21
78.14	2	1	0.822	-22
82.005	2	1	0.566	23
88.003	2	0	1.024	52
90.069	2	1	1.117	-9
96.016	2	0	0.986	10
98.082	2	1	0.631	-12
102.014	2	1	0.493	51
104.08	2	0	1.218	17
106.146	2	1	1.305	18
112.01	2	1	0.769	-20
116.009	2	1	0.427	54
118.075	2	0	0.766	13
124.006	2	1	0.605	-14
126.072	2	1	0.636	16
128.137	2	1	0.602	-5
130.203	2	1	0.696	-6
132.269	2	1	0.491	7
134.335	2	1	0.868	-9
136.401	2	0	0.624	10
138.467	2	1	0.848	-11
142.016	2	0	0.643	-49
144.081	2	1	0.554	1
148.013	2	0	0.607	2
150.079	2	1	0.749	-4
154.011	2	0	1.462	52
158.01	2	1	0.679	1
164.007	2	0	0.669	2
166.073	2	1	0.849	-3
168.139	2	1	1.086	17
170.205	2	1	0.405	18
174.004	2	1	0.848	-20
176.069	2	0	1.084	-53
182.017	2	0	1.426	13
186.016	2	1	0.802	-14
188.065	2	1	0.755	15
190.131	2	1	0.656	-9
196.012	2	0	0.51	10
200.01	2	1	0.72	-12
202.076	2	0	0.984	-50
204.142	2	1	1.582	-21
206.208	2	1	0.698	-22
212.006	2	1	0.806	24
218.003	2	1	0.949	-49
222.002	2	1	0.689	-5
224.084	2	1	0.703	-6
230.015	2	1	0.66	7
236.013	2	0	0.919	17
238.096	2	1	0.786	18
242.011	2	1	0.897	-19
244.093	2	1	0.532	51
248.009	2	1	0.76	-21
250.091	2	1	0.598	-22
256.006	2	1	0.757	23
262.003	2	1	0.568	-5
266.002	2	1	0.695	-6
272.016	2	1	1.098	8
274.099	2	1	0.728	-9
276.181	2	0	0.645	10
280.013	2	1	0.855	-11
286.011	2	1	0.696	1
290.009	2	0	0.754	2
292.092	2	1	0.861	-4
294.175	2	1	0.62	54
296.257	2	0	0.987	13
302.005	2	1	0.774	-14
304.087	2	1	0.643	16
