onset	duration	accuracy	response_time	image
12.006	2	0	0	45
18.004	2	1	0.741	-46
20.07	2	1	0.733	48
24.001	2	1	0.599	-55
30.016	2	1	0.708	29
36.014	2	1	0.55	-30
40.012	2	1	0.784	31
46.01	2	1	0.951	-57
52.007	2	0	1.677	-25
54.073	2	1	0.747	26
56.139	2	1	0.735	-27
60.004	2	1	0.837	60
62.07	2	0	0.748	33
66.002	2	1	0.817	34
68.068	2	1	0.622	-35
72.016	2	0	1.94	-56
74.082	2	0	0.024	-37
80.013	2	1	0.707	-38
82.079	2	1	0.946	39
84.145	2	1	0.969	-41
86.194	2	1	0.777	42
88.244	2	1	0.67	-44
92.009	2	1	0.728	29
94.075	2	1	0.711	-30
98.007	2	1	0.813	32
100.073	2	0	1.4	59
102.138	2	1	0.857	45
108.003	2	1	0.695	-46
112.001	2	1	1.353	47
114.051	2	1	0.793	-41
116.117	2	1	0.676	42
118.182	2	1	0.652	-43
122.014	2	1	1.075	58
124.08	2	1	0.961	-37
130.011	2	1	0.648	-38
132.077	2	1	0.717	40
134.143	2	1	0.644	-25
140.007	2	1	1.043	26
142.073	2	1	0.674	-28
148.004	2	1	0.734	33
154.002	2	1	1.473	34
158.017	2	1	0.579	-36
160.083	2	1	0.51	33
162.149	2	1	1.133	34
166.014	2	1	1.086	-35
172.012	2	0	0.92	-25
174.078	2	1	0.733	26
176.144	2	1	0.709	-27
178.209	2	1	0.915	29
180.275	2	1	0.585	-30
184.007	2	1	0.877	32
186.073	2	1	0.794	-57
188.139	2	0	1.233	-37
190.205	2	1	0.654	-38
196.003	2	1	0.704	40
198.069	2	1	0.406	-55
200.135	2	0	1.027	-25
202.184	2	1	0.737	26
204.266	2	1	0.712	-28
208.015	2	0	1.61	45
214.013	2	1	0.908	-46
218.011	2	1	0.694	48
222.01	2	0	1.648	60
224.092	2	0	0.582	-41
230.007	2	1	0.692	42
234.005	2	1	0.839	-43
236.088	2	1	0.892	58
242.002	2	1	1.607	33
244.085	2	1	0.892	34
250.016	2	1	0.794	-36
256.013	2	0	0.636	-56
258.096	2	1	0.755	45
262.011	2	1	0.767	-46
264.094	2	1	1.221	47
266.177	2	1	1.169	59
270.008	2	1	0.817	-37
276.006	2	1	0.701	-38
280.004	2	1	0.692	39
282.07	2	1	0.685	-41
288.018	2	1	1.53	42
290.1	2	1	0.63	-44
294.016	2	1	0.685	29
296.098	2	1	0.96	-30
300.013	2	1	0.894	31
