onset	duration	accuracy	response_time	image
12.006	2	0	0	-9
18.004	2	1	0.862	10
22.002	2	1	0.784	-11
24.068	2	1	0.783	-52
28.016	2	0	0.809	-5
32.015	2	0	1.293	-6
34.081	2	1	1.268	7
36.147	2	0	1.113	54
38.196	2	0	1.76	1
44.01	2	0	1.567	2
48.009	2	0	1.512	-3
52.007	2	0	1.505	53
54.073	2	1	1.336	13
60.004	2	1	0.87	-14
64.003	2	1	1.225	15
66.069	2	1	0.719	-21
68.118	2	0	0.574	-22
70.184	2	1	1.601	23
74.016	2	1	1.253	-49
76.082	2	1	1.008	1
78.147	2	0	0.649	2
82.013	2	1	0.775	-4
88.01	2	1	0.799	17
92.009	2	1	0.435	18
94.075	2	1	0.729	-19
100.006	2	1	0.748	50
104.004	2	1	0.615	-5
106.07	2	0	0.844	-6
108.136	2	1	0.762	8
114.017	2	1	1.064	-51
118.016	2	1	0.762	13
120.081	2	1	0.928	-14
124.013	2	1	1.156	16
126.079	2	1	0.77	-21
132.01	2	0	1.089	-22
134.076	2	1	0.549	24
138.008	2	0	0.955	17
140.074	2	1	0.602	18
142.14	2	1	0.766	-20
148.004	2	1	1.518	-9
150.07	2	1	0.651	10
154.002	2	1	0.889	-12
160.016	2	1	1.817	-9
166.014	2	1	0.676	10
168.08	2	1	0.785	-11
170.146	2	1	0.944	13
172.212	2	1	0.704	-14
174.261	2	1	0.815	16
180.009	2	1	0.665	-5
182.075	2	0	0.647	-6
188.006	2	1	1.037	8
190.072	2	0	0	17
192.121	2	1	0.113	18
198.002	2	1	0.729	-20
204.016	2	1	1.252	-51
208.015	2	0	1.197	-21
214.013	2	0	0.701	-22
218.011	2	1	1.038	24
220.077	2	1	0.636	-52
226.008	2	1	0.762	-9
228.091	2	1	0.601	10
230.173	2	1	0.695	-12
232.256	2	1	0.739	-5
236.004	2	0	0.566	-6
242.002	2	1	1.303	7
244.084	2	0	0.964	53
246.167	2	1	0.78	1
248.25	2	0	0.651	2
250.315	2	1	0.881	-4
252.398	2	1	0.572	50
254.464	2	1	0.737	-21
256.546	2	0	0.577	-22
260.012	2	1	0.821	23
262.094	2	1	0.539	-49
268.009	2	1	0.56	17
272.007	2	1	0.484	18
278.005	2	1	0.871	-19
282.003	2	1	0.975	1
288.018	2	0	0.585	2
290.1	2	0	0.792	-3
292.183	2	0	1.077	54
296.015	2	1	0.634	13
302.013	2	1	0.958	-14
304.095	2	1	0.659	15
