onset	duration	accuracy	response_time	image
12.009	2	0	0	-50
16.008	2	1	0.569	13
18.074	2	1	0.881	-14
24.005	2	1	0.511	15
28.003	2	1	1.44	17
34.018	2	0	1.16	18
38.016	2	1	0.667	-19
40.082	2	1	0.656	51
42.148	2	1	0.774	-21
44.214	2	0	0.597	-22
50.012	2	1	0.677	24
54.01	2	1	1.032	53
56.076	2	1	0.615	-9
62.007	2	1	1.163	10
64.073	2	1	0.633	-11
66.139	2	1	0.784	-5
68.205	2	0	0.733	-6
74.003	2	1	0.753	7
76.068	2	0	0.63	1
78.134	2	1	0.389	2
80.2	2	1	0.553	-4
84.015	2	1	1.058	54
86.081	2	1	0.61	-9
88.147	2	1	0.575	10
90.213	2	1	0.724	-12
92.279	2	1	0.603	17
94.345	2	0	0.459	18
98.01	2	1	0.577	-20
100.076	2	0	1.542	1
106.007	2	1	0.626	2
108.073	2	1	0.689	-3
114.004	2	1	1.381	-21
116.07	2	0	0.844	-22
122.018	2	1	0.899	23
126.016	2	1	0.818	-52
128.082	2	1	0.927	13
130.148	2	1	0.654	-14
136.012	2	1	0.688	16
140.011	2	1	0.759	-49
142.077	2	1	1.126	-5
146.008	2	0	0.532	-6
152.006	2	1	0.918	8
154.072	2	1	0.801	51
156.138	2	0	1.129	13
158.204	2	1	0.648	-14
162.003	2	1	0.6	16
164.068	2	0	0.773	54
170.016	2	1	1.497	17
172.082	2	0	0.855	18
174.148	2	1	0.568	-20
176.214	2	1	0.717	-50
180.012	2	1	1.269	-9
186.01	2	1	0.591	10
190.008	2	1	0.624	-11
196.006	2	1	0.996	-5
198.072	2	0	0.563	-6
200.138	2	1	0.482	7
204.003	2	1	0.873	-21
206.069	2	0	0.66	-22
210.018	2	1	0.897	23
214.016	2	0	0.793	13
216.099	2	1	0.682	-14
220.014	2	1	0.629	15
222.096	2	1	0.756	53
224.179	2	0	0.598	1
226.261	2	1	0.733	2
230.01	2	1	0.648	-4
236.008	2	0	0.641	-52
242.005	2	1	0.925	-9
244.088	2	1	0.907	10
248.003	2	1	0.975	-12
254.017	2	0	0	-21
256.083	2	1	0.043	-22
260.015	2	1	0.636	24
266.013	2	0	1.036	17
272.011	2	0	0.737	18
274.093	2	1	0.717	-19
280.008	2	0	0.979	-49
282.09	2	1	1.057	-5
286.005	2	0	0.686	-6
288.088	2	1	0.642	8
290.17	2	0	0.831	1
296.002	2	1	1.099	2
300.017	2	1	0.682	-3
