onset	duration	accuracy	response_time	image
12.009	2	0	0	18
17.007	2	1	0	-12
21.005	2	1	0	-36
26.003	2	1	0	57
33.017	2	1	0	18
40.015	2	1	0	48
46.012	2	1	0	8
50.011	2	1	0	59
54.009	2	1	0	34
58.008	2	1	0	26
64.005	2	1	0	-46
71.003	2	1	0	-56
78.017	2	1	0.819	-6
85.014	2	1	0	-6
91.012	2	1	0	32
98.009	2	1	0	-14
104.007	2	1	0	2
109.005	2	1	0	-38
115.003	2	1	0	-28
121.017	2	1	0	42
125.016	2	1	0	-4
129.014	2	1	0	-30
133.013	2	1	0	10
137.011	2	1	0	-55
143.009	2	1	0	-22
147.007	2	1	0	-60
151.006	2	1	0	-44
155.004	2	1	0	58
161.019	2	1	0	16
166.017	2	1	0	40
170.015	2	1	0	24
174.014	2	1	0	-20
181.011	2	1	0	32
185.01	2	1	0	26
189.008	2	1	0	42
194.006	2	1	0	34
199.004	2	1	0	57
203.003	2	1	0	48
209.017	2	1	0.722	42
213.016	2	1	0	18
219.013	2	1	0	-60
224.011	2	1	0	2
231.009	2	1	0	-55
237.006	2	1	0	-28
244.004	2	1	0	-38
249.002	2	0	0	-30
256.016	2	1	0	-56
260.014	2	1	0	-44
267.012	2	1	0	10
273.01	2	1	0	59
277.008	2	1	0	-14
282.006	2	1	0	-12
286.005	2	1	0	-22
292.002	2	1	0	40
299.016	2	1	0	-20
306.014	2	1	0.98	-20
311.012	2	1	0	24
317.01	2	1	0	-30
323.007	2	1	0	-46
328.005	2	1	0	8
332.004	2	1	0	-36
339.018	2	1	0	-4
343.016	2	1	0	16
347.015	2	1	0	-6
351.013	2	1	0	58
355.012	2	1	0	-28
362.009	2	1	0	34
367.007	2	1	0	32
374.005	2	1	0	58
381.002	2	1	0	16
385.017	2	1	0	-55
392.014	2	1	0	-12
399.012	2	1	0	-6
405.009	2	1	0	2
409.008	2	1	0	-38
413.006	2	1	0	-22
418.005	2	1	0	26
422.003	2	1	0	8
427.018	2	1	0	10
432.016	2	1	0	42
436.014	2	1	0	-60
441.012	2	1	0	-56
446.011	2	1	0	59
450.009	2	1	0	24
457.006	2	1	0.757	-4
461.005	2	1	0	40
468.002	2	1	0	-20
473.017	2	1	1.163	-44
478.015	2	1	0	-36
484.013	2	1	0	-44
488.011	2	1	0	-4
495.009	2	1	0	-30
499.007	2	1	0	-46
503.006	2	1	0	-14
508.004	2	1	0	48
514.001	2	1	0.825	-28
518.017	2	1	0	18
524.014	2	1	0	57
530.012	2	1	0	-12
534.011	2	1	0	-38
538.009	2	1	0	58
543.007	2	1	0	57
549.005	2	1	0.807	-50
553.003	2	1	0	-55
557.002	2	1	0	48
561.017	2	1	0	-28
568.014	2	1	0	-22
572.013	2	1	0	34
577.011	2	1	0	40
583.009	2	1	0	-36
587.007	2	1	0	26
593.005	2	1	0	32
598.003	2	1	0	-44
602.001	2	1	0	10
606.016	2	1	0	8
611.015	2	0	0	51
618.012	2	1	0	-14
622.01	2	1	0	-60
626.009	2	1	0	-56
633.006	2	1	0	16
637.005	2	1	0	59
642.003	2	1	0	-4
646.018	2	1	0	-6
651.016	2	1	0	2
657.014	2	1	0	24
661.012	2	1	0	18
665.011	2	1	0	-30
671.008	2	1	0	-20
677.006	2	1	0	-46
684.004	2	1	0	42
