onset	duration	accuracy	response_time	image
12.015	2	0	0	13
18.013	2	1	0.74	-14
20.079	2	1	0.732	15
22.145	2	1	0.792	-9
24.211	2	1	0.696	10
26.277	2	1	0.711	-11
32.008	2	1	0.69	-5
36.006	2	0	0.771	-6
42.004	2	1	0.823	8
44.07	2	1	1.116	17
48.018	2	1	1.127	18
50.084	2	1	0.725	-20
52.15	2	1	0.901	53
54.216	2	1	1.274	-21
56.282	2	0	1.112	-22
60.014	2	1	1.213	24
66.012	2	1	0.776	-52
72.009	2	1	0.903	-5
74.075	2	0	1.096	-6
80.006	2	1	1.158	7
82.072	2	1	0.937	-49
84.138	2	1	1.27	13
88.003	2	1	1.118	-14
90.069	2	1	0.676	16
92.135	2	1	0.938	-51
98.016	2	1	1.074	1
100.082	2	0	1.231	2
102.148	2	1	1.693	-3
104.214	2	1	1.683	50
108.012	2	0	1.276	17
110.078	2	1	1.203	18
112.144	2	1	0.794	-19
116.009	2	1	1.145	54
120.008	2	1	0.667	-9
124.006	2	1	0.834	10
126.072	2	1	0.635	-12
128.138	2	1	0.825	1
132.003	2	0	1.198	2
134.069	2	1	0.878	-4
138.018	2	0	0.817	-21
140.083	2	0	0.926	-22
144.015	2	1	0.98	23
150.013	2	0	1.439	13
154.012	2	1	0.841	-14
156.077	2	1	0.803	16
158.143	2	1	1.309	-51
164.008	2	1	1.626	-21
166.074	2	0	0.698	-22
172.005	2	0	0.839	23
176.003	2	1	1.24	-52
180.002	2	1	1.263	-5
182.068	2	0	0.752	-6
184.133	2	1	1.158	7
186.199	2	0	0.762	54
190.014	2	0	1.116	17
194.013	2	1	0.942	18
200.011	2	1	1.023	-20
202.077	2	1	1.575	-9
204.159	2	1	0.755	10
210.007	2	1	1.643	-11
212.089	2	1	0.927	50
216.005	2	1	0.911	-5
220.003	2	0	0.566	-6
222.086	2	1	0.892	8
228.017	2	0	1.394	-21
230.099	2	1	0.647	-22
236.014	2	1	1.195	24
240.012	2	0	1.356	1
244.011	2	1	1.439	2
250.008	2	1	0.905	-4
256.006	2	1	1.173	53
258.089	2	1	0.904	13
264.003	2	1	0.702	-14
266.086	2	1	0.685	15
272.017	2	1	1.545	-49
274.099	2	1	1.713	-9
278.014	2	1	0.7	10
284.012	2	1	1.488	-12
286.095	2	1	0.828	17
288.161	2	1	1.154	18
294.008	2	1	0.777	-19
296.091	2	1	1.102	1
298.157	2	0	0.91	2
304.005	2	0	1.23	-3
