onset	duration	accuracy	response_time	image
12.018	2	0	0	1
14.067	2	0	0.767	2
16.133	2	0	0.575	-3
18.199	2	0	1.853	54
20.265	2	1	0.953	-5
26.013	2	1	1.711	-6
28.078	2	1	1.069	7
32.01	2	0	1.216	17
34.076	2	1	0.35	18
38.008	2	1	0.852	-20
44.006	2	1	1.124	53
46.072	2	1	0.844	-9
50.003	2	1	1.095	10
52.069	2	1	0.643	-12
56.018	2	0	1.106	-21
60.016	2	0	0.707	-22
62.082	2	1	0.455	23
64.148	2	1	0.6	-49
70.012	2	1	1.086	17
72.078	2	1	0.339	18
76.01	2	1	0.664	-19
78.076	2	0	0	-51
82.008	2	1	0.657	13
84.074	2	1	0.899	-14
88.006	2	1	0.966	16
92.004	2	1	1.55	50
94.07	2	0	1.731	1
100.018	2	0	1.096	2
102.084	2	1	0.997	-4
108.015	2	1	1.195	-52
110.081	2	0	0.86	-9
116.012	2	1	1.014	10
118.078	2	1	0.581	-11
120.143	2	1	0.675	13
126.008	2	1	0.994	-14
130.006	2	1	0.653	15
136.004	2	1	0.679	-5
140.003	2	0	1.017	-6
142.068	2	1	0.887	8
144.134	2	1	1.028	-21
146.2	2	0	0.708	-22
148.266	2	1	0.81	24
154.014	2	1	0.726	-52
156.08	2	0	0.804	-9
160.012	2	1	0.632	10
162.078	2	1	0.612	-12
168.009	2	1	0.699	50
170.075	2	0	0	13
176.006	2	1	1.239	-14
178.071	2	1	0.605	15
182.003	2	1	0.841	-5
188.018	2	0	1.585	-6
190.084	2	1	0.838	7
192.15	2	1	0.909	1
198.014	2	0	0.773	2
202.012	2	1	1.448	-4
204.078	2	0	1.109	-49
208.01	2	1	0.736	17
210.076	2	1	0.424	18
216.007	2	1	0.949	-20
222.005	2	0	1.775	-51
226.003	2	1	0.79	13
228.086	2	1	0.926	-14
230.168	2	1	0.649	16
236.016	2	0	0.883	53
238.099	2	1	0.878	1
240.181	2	0	0.677	2
244.013	2	0	1.205	-3
246.096	2	1	0.995	-21
248.178	2	0	1.007	-22
254.009	2	1	0.858	24
260.007	2	0	0.653	54
264.006	2	1	0.74	-5
268.004	2	1	1.597	-6
270.087	2	1	0.941	8
272.169	2	1	0.681	-9
278.017	2	1	0.723	10
280.099	2	1	0.614	-11
282.182	2	0	1.309	-21
286.014	2	0	0.755	-22
292.012	2	1	0.631	23
296.01	2	0	1.272	17
298.093	2	1	0.872	18
304.007	2	1	0.955	-19
