onset	duration	accuracy	response_time	image
12.008	2	0	0	29
18.006	2	1	0.612	-30
22.004	2	1	0.509	32
24.07	2	1	0.7	-25
26.136	2	0	0.563	26
28.202	2	1	0.419	-28
32.017	2	0	0.768	-56
34.083	2	1	0.928	33
36.149	2	0	0.661	34
38.215	2	1	0.588	-36
40.28	2	0	1.307	-37
42.346	2	1	0.976	-38
48.011	2	1	0.551	40
52.009	2	1	1.112	60
58.007	2	1	0.605	-41
60.073	2	1	0.658	42
64.005	2	1	0.551	-44
66.071	2	1	0.739	59
68.137	2	0	0.849	45
74.018	2	1	0.666	-46
76.084	2	1	0.68	47
80.016	2	1	0.709	-37
82.081	2	1	0.785	-38
88.012	2	1	0.437	39
90.078	2	0	1.075	55
96.009	2	1	0.579	-41
100.008	2	1	0.57	42
102.074	2	1	0.514	-43
106.006	2	0	0.66	-57
110.004	2	1	0.823	29
112.07	2	1	0.518	-30
118.018	2	1	0.442	31
120.084	2	1	0.671	-58
126.015	2	1	0.627	45
128.081	2	1	0.555	-46
130.146	2	1	0.463	48
132.212	2	1	1.101	-25
138.01	2	0	0.704	26
140.076	2	1	1.311	-27
142.142	2	1	1.071	33
146.007	2	0	0.742	34
148.073	2	1	0.633	-35
150.139	2	0	0.944	-58
154.004	2	1	0.59	29
156.07	2	1	0.428	-30
162.018	2	1	0.632	31
164.084	2	1	0.983	-37
170.015	2	1	0.598	-38
172.081	2	1	0.395	39
174.146	2	1	0.575	-41
178.012	2	1	1.118	42
184.009	2	1	0.624	-44
188.008	2	1	0.643	45
192.006	2	1	0.581	-46
196.005	2	1	0.494	48
200.003	2	1	0.863	-57
202.069	2	0	0.782	-25
208.017	2	0	0.603	26
210.083	2	1	0.378	-28
214.015	2	0	0.859	-56
216.081	2	1	0.803	33
218.146	2	0	0.527	34
222.012	2	1	0.654	-35
228.009	2	1	0.649	55
234.007	2	1	0.677	-37
236.09	2	1	0.57	-38
238.172	2	1	0.607	40
240.255	2	1	0.611	60
242.337	2	0	0.82	29
248.002	2	1	0.52	-30
250.084	2	1	0.453	32
256.015	2	0	0.803	33
258.098	2	0	0.641	34
262.013	2	1	0.711	-36
266.012	2	1	0.936	59
272.009	2	0	0.435	45
274.092	2	1	0.737	-46
280.006	2	1	0.821	47
282.089	2	1	0.731	-25
284.171	2	0	0.615	26
288.003	2	1	0.785	-27
294.017	2	1	0.651	-41
300.015	2	1	0.427	42
304.014	2	1	0.573	-43
