onset	duration	accuracy	response_time	image
12.017	2	0	0	33
14.083	2	0	0.519	34
18.015	2	1	1.325	-36
20.081	2	0	1.057	-25
22.13	2	0	0.578	26
26.012	2	1	1.022	-27
28.078	2	0	0.805	-57
30.143	2	1	0.618	29
36.008	2	1	0.602	-30
40.006	2	1	0.7	32
46.004	2	1	0.655	-56
48.07	2	1	0.845	33
54.018	2	0	0.723	34
58.016	2	1	0.666	-35
60.082	2	1	1.337	-41
64.014	2	1	0.611	42
70.012	2	1	0.679	-44
74.01	2	1	0.57	29
78.009	2	1	0.443	-30
84.006	2	1	0.453	31
86.072	2	0	1.954	45
88.138	2	1	0.027	-46
90.204	2	1	0.824	48
96.002	2	1	1.842	55
98.068	2	1	0.639	-37
100.117	2	1	0.654	-38
102.183	2	1	0.666	40
108.014	2	0	1.123	59
114.012	2	1	1.04	-25
120.009	2	0	0.809	26
126.007	2	1	0.73	-28
128.073	2	1	0.696	45
132.005	2	1	0.654	-46
134.071	2	1	0.612	47
136.137	2	1	0.795	-58
138.202	2	1	0.703	-41
140.268	2	1	0.616	42
142.334	2	1	0.749	-43
146.016	2	1	0.713	60
148.082	2	1	0.746	-37
152.014	2	1	0.907	-38
154.08	2	1	0.754	39
156.146	2	0	1.218	33
162.01	2	0	0.759	34
166.009	2	1	0.785	-36
168.058	2	1	0.81	45
174.006	2	1	0.631	-46
180.003	2	1	0.638	47
182.069	2	1	0.9	29
188.017	2	1	0.732	-30
192.015	2	1	0.725	32
196.014	2	1	0.655	-56
202.012	2	0	0.743	-25
204.077	2	0	0.573	26
206.143	2	1	0.691	-28
208.226	2	1	0.769	-41
214.007	2	1	0.668	42
216.073	2	1	0.672	-44
220.005	2	1	0.454	29
224.003	2	1	0.422	-30
230.018	2	1	0.993	31
234.016	2	1	0.595	60
238.015	2	1	0.942	-37
242.013	2	1	1.391	-38
248.011	2	1	0.744	40
250.093	2	0	0.815	45
254.008	2	1	0.826	-46
256.091	2	1	0.745	48
262.005	2	1	1.14	55
264.088	2	1	0.635	-41
266.171	2	1	0.439	42
268.253	2	1	0.551	-43
272.002	2	0	0.792	-58
274.084	2	1	1.821	33
276.167	2	0	0.766	34
282.015	2	1	0.996	-35
284.097	2	1	0.659	59
288.012	2	1	1.013	-25
290.095	2	0	0.461	26
292.177	2	1	1.145	-27
298.008	2	0	1.676	-57
300.091	2	0	1.182	-37
302.174	2	1	0.733	-38
304.256	2	1	0.642	39
