onset	duration	accuracy	response_time	image
12.01	2	0	0	52
16.009	2	1	0.89	-9
18.074	2	1	0.881	10
24.005	2	1	0.867	-12
26.071	2	0	1.148	-21
32.002	2	0	1.089	-22
34.068	2	1	0.887	23
36.134	2	1	0.926	13
38.2	2	1	0.724	-14
42.015	2	1	0.738	15
44.081	2	0	0.961	1
48.013	2	0	0	2
50.062	2	0	0.078	-4
52.128	2	0	1.171	-49
54.194	2	0	1.658	-9
58.009	2	1	0.896	10
64.007	2	1	1.396	-11
66.073	2	1	0.961	-50
68.139	2	1	0.742	13
70.205	2	1	0.644	-14
74.003	2	1	0.561	16
80.018	2	1	0.793	-5
82.083	2	1	0.981	-6
84.133	2	1	0.63	7
88.015	2	1	1.491	51
94.012	2	1	1.013	17
100.01	2	1	1.465	18
102.076	2	1	0.726	-19
108.007	2	1	1.258	1
110.073	2	0	0.851	2
112.139	2	1	0.738	-3
114.205	2	1	0.757	54
116.27	2	1	0.58	-5
122.002	2	1	1.311	-6
124.067	2	1	0.766	8
126.133	2	1	0.853	-21
130.015	2	0	1.37	-22
132.064	2	1	0.745	24
138.012	2	1	1.007	-53
140.078	2	1	0.741	17
142.144	2	0	1.529	18
144.21	2	1	0.801	-20
148.008	2	1	1.003	51
154.006	2	1	0.875	17
160.004	2	0	1.095	18
164.002	2	1	0.743	-19
166.068	2	1	0.807	1
168.134	2	1	1.141	2
174.015	2	1	0.813	-3
180.013	2	1	0.703	52
182.062	2	1	0.685	-21
188.01	2	0	1.727	-22
190.076	2	0	1.041	23
192.142	2	1	0.788	-9
196.007	2	1	0.763	10
198.073	2	1	0.761	-11
204.004	2	0	1.623	-49
208.002	2	1	1.152	-5
214.017	2	0	1.432	-6
218.015	2	1	0.916	8
222.014	2	1	1.477	13
224.08	2	1	0.77	-14
230.011	2	1	0.778	15
232.076	2	1	1.59	54
236.008	2	0	1.13	1
240.007	2	1	1.468	2
246.005	2	1	0.748	-4
248.087	2	1	1.06	-21
252.002	2	0	1.057	-22
254.085	2	0	0.991	24
258.017	2	1	1.466	-50
260.099	2	0	1.038	-9
262.182	2	1	0.827	10
264.264	2	1	0.632	-12
268.013	2	1	0.78	13
270.095	2	1	0.852	-14
276.01	2	1	0.626	16
282.008	2	1	0.801	-5
284.09	2	0	1.384	-6
288.005	2	1	0.836	7
292.004	2	1	0.701	-53
294.07	2	1	0.645	17
296.152	2	0	0.676	18
300.017	2	1	0.778	-20
