onset	duration	accuracy	response_time	image
12.016	2	0	0	-25
14.065	2	1	0.616	26
16.131	2	1	0.71	-28
18.197	2	1	0.724	45
22.012	2	1	0.845	-46
24.078	2	1	0.621	48
30.009	2	1	0.763	-59
32.075	2	1	0.633	29
38.006	2	1	1.156	-30
44.004	2	1	0.744	31
46.069	2	0	1.141	-41
52.017	2	1	0.968	42
54.083	2	1	0.615	-43
58.015	2	1	0.706	55
60.081	2	1	0.762	-37
62.147	2	1	1.256	-38
68.011	2	1	0.83	40
70.077	2	0	1.382	56
72.126	2	0	1.037	33
78.007	2	1	0.689	34
80.073	2	1	1.091	-36
84.005	2	1	1.23	-58
88.003	2	0	0.968	-41
94.018	2	1	0.746	42
96.084	2	1	0.615	-44
102.015	2	1	0.78	-60
108.013	2	1	1.388	29
112.011	2	1	0.935	-30
114.077	2	1	0.845	32
118.009	2	0	1.435	45
120.075	2	1	1.094	-46
122.141	2	1	0.701	47
124.206	2	1	0.666	57
126.256	2	1	0.442	-25
132.003	2	1	0.574	26
136.002	2	1	0.881	-27
138.068	2	1	0.935	33
142.016	2	1	0.729	34
144.082	2	1	0.945	-35
146.131	2	0	1.477	-37
148.197	2	1	0.677	-38
150.263	2	1	0.65	39
154.012	2	1	1.181	-59
158.01	2	0	0.745	-37
160.076	2	1	0.765	-38
164.008	2	1	0.747	39
170.006	2	1	0.773	33
172.072	2	1	0.635	34
174.154	2	1	0.674	-36
176.22	2	0	0.855	-41
182.018	2	1	0.704	42
186.016	2	1	0.681	-43
192.014	2	0	1.333	-58
198.012	2	1	1.405	45
200.078	2	1	0.534	-46
202.144	2	1	1.275	47
204.209	2	1	1.073	-37
206.275	2	1	0.737	-38
210.007	2	1	1.122	40
216.005	2	1	1.357	57
218.071	2	1	0.875	29
220.137	2	1	0.603	-30
222.219	2	1	0.766	32
228.017	2	1	0.922	-60
232.015	2	0	1.076	45
234.081	2	0	1.241	-46
238.013	2	0	0	48
240.079	2	1	1.437	56
244.011	2	1	1.184	-25
250.009	2	1	1.233	26
254.007	2	1	0.94	-28
260.005	2	1	0.815	55
262.087	2	0	1.828	-41
268.002	2	1	0.698	42
274.016	2	1	0.72	-44
278.015	2	1	0.81	33
280.097	2	1	0.625	34
282.18	2	1	0.968	-35
284.262	2	1	1.811	-25
286.345	2	1	0.866	26
290.01	2	1	0.842	-27
294.009	2	1	0.69	29
300.006	2	1	0.597	-30
304.005	2	0	0	31
