onset	duration	accuracy	response_time	image
12.01	2	0	0	33
14.059	2	0	0.655	34
16.125	2	1	0.789	-36
18.191	2	1	0.883	57
20.257	2	1	0.763	-37
22.323	2	1	0.593	-38
24.389	2	1	0.701	40
26.455	2	1	0.907	-58
30.003	2	1	0.974	-25
32.069	2	1	0.551	26
36.018	2	1	0.539	-28
40.016	2	1	1.18	33
44.015	2	0	0.676	34
46.08	2	1	0.521	-35
50.012	2	0	1.672	-37
52.078	2	1	0.757	-38
54.144	2	1	0.803	39
58.009	2	0	1.474	45
62.008	2	1	0.739	-46
66.006	2	1	0.805	48
68.072	2	1	1.085	29
74.003	2	1	0.576	-30
80.018	2	1	0.619	32
86.015	2	1	0.907	-56
88.081	2	1	0.874	-25
92.013	2	1	0.669	26
94.079	2	1	0.812	-27
98.011	2	1	1.655	60
100.077	2	1	1.037	-41
106.008	2	1	0.818	42
108.074	2	1	0.683	-44
110.139	2	1	0.623	-59
114.005	2	1	1.045	29
116.071	2	1	0.651	-30
120.002	2	1	1.002	31
122.068	2	1	0.774	55
126.017	2	0	1.02	45
128.066	2	1	0.631	-46
130.132	2	1	0.951	47
136.013	2	1	0.573	-41
138.079	2	1	0.62	42
140.128	2	1	0.801	-43
146.009	2	1	1.257	-37
150.008	2	1	0.739	-38
156.005	2	1	0.758	40
158.071	2	1	0.954	-56
164.002	2	1	0.649	-25
168.017	2	1	0.442	26
174.015	2	1	0.852	-27
180.013	2	1	1.551	60
182.079	2	1	0.843	29
184.145	2	1	0.636	-30
188.01	2	1	0.704	31
194.008	2	1	0.82	45
196.074	2	1	0.672	-46
202.005	2	1	0.877	47
206.003	2	0	0.83	33
212.017	2	0	0.618	34
214.083	2	1	0.593	-35
218.015	2	1	0.707	55
220.081	2	1	0.873	-41
226.012	2	1	0.693	42
228.078	2	1	0.806	-43
234.009	2	1	0.947	29
236.092	2	1	0.6	-30
242.006	2	1	0.611	32
244.089	2	0	1.3	57
246.171	2	1	0.91	45
248.254	2	1	1.18	-46
254.002	2	1	1.089	48
260.016	2	1	1.531	-58
262.098	2	1	1.048	33
266.014	2	0	0.797	34
268.096	2	1	0.603	-36
270.179	2	0	1.314	-25
276.01	2	1	1.059	26
278.092	2	1	0.903	-28
280.175	2	1	0.922	-59
282.258	2	0	0.977	-41
288.005	2	1	0.598	42
294.003	2	1	0.375	-44
296.086	2	0	1.037	-37
300.017	2	1	0.873	-38
302.1	2	1	0.799	39
