onset	duration	accuracy	response_time	image
12.011	2	0	0	-59
14.061	2	1	0.742	33
18.009	2	0	0.331	34
22.008	2	1	0.651	-35
24.073	2	1	0.586	55
26.139	2	1	0.712	-41
32.004	2	1	0.624	42
36.002	2	1	0.84	-43
40.017	2	1	1.497	-25
46.015	2	1	0.613	26
52.013	2	1	0.341	-27
56.011	2	1	0.744	45
62.009	2	1	0.729	-46
64.075	2	1	1.04	47
66.141	2	1	0.935	-41
68.207	2	1	0.587	42
72.005	2	1	0.941	-44
74.071	2	0	1.011	-37
80.002	2	1	0.602	-38
82.068	2	1	0.631	39
84.134	2	1	0.843	-56
88.016	2	1	1.29	-25
90.082	2	1	0.584	26
96.013	2	1	0.495	-28
98.079	2	1	1.085	29
100.145	2	1	0.691	-30
102.21	2	1	0.799	31
106.009	2	0	1.057	57
108.075	2	0	1.801	33
112.007	2	0	0.717	34
114.073	2	1	0.689	-36
120.004	2	0	0.943	-58
126.001	2	1	1	-37
132.016	2	1	0.724	-38
134.082	2	1	0.691	40
138.013	2	0	0.741	60
142.012	2	1	1.413	29
148.01	2	1	0.584	-30
152.008	2	1	1.362	32
154.074	2	1	0.823	45
158.006	2	1	0.821	-46
160.072	2	1	1.035	48
164.004	2	1	1.455	57
170.002	2	1	1.337	45
172.084	2	1	0.51	-46
174.15	2	1	0.82	48
176.216	2	1	1.282	-58
182.014	2	1	1.191	-25
184.079	2	1	0.626	26
186.129	2	1	0.817	-28
188.195	2	1	1.209	29
190.26	2	1	0.678	-30
192.326	2	1	0.915	32
198.007	2	0	1.051	33
202.006	2	0	0.629	34
206.004	2	1	0.536	-35
212.002	2	1	1.506	60
216.017	2	1	0.801	-37
218.083	2	1	0.609	-38
224.014	2	1	0.565	39
226.064	2	0	1.531	45
232.011	2	1	0.59	-46
236.01	2	1	0.93	47
238.092	2	1	0.832	-41
240.175	2	1	0.653	42
242.257	2	1	0.627	-44
248.005	2	1	0.607	55
252.004	2	0	1.504	29
254.086	2	1	0.987	-30
256.169	2	1	0.761	31
258.251	2	1	0.87	-59
264.016	2	1	1.076	33
266.098	2	0	0.615	34
272.013	2	1	0.592	-36
274.095	2	0	0.805	-56
276.178	2	0	1.759	-41
278.26	2	1	0.655	42
284.008	2	1	0.698	-43
288.007	2	1	1.39	-37
290.089	2	1	0.755	-38
296.004	2	1	0.591	40
298.086	2	1	0.693	-25
300.169	2	1	0.656	26
304.017	2	1	0.833	-27
