onset	duration	accuracy	response_time	image
12.013	2	0	0	-9
18.011	2	1	0.817	10
20.077	2	1	0.734	-11
22.143	2	0	1.154	-50
26.008	2	1	0.787	17
30.007	2	1	1.427	18
32.072	2	1	1.539	-20
34.138	2	0	1.559	-49
36.204	2	1	1.127	-5
42.002	2	0	1.031	-6
46.017	2	1	0.848	7
48.083	2	0	0.926	13
54.014	2	1	1.013	-14
56.08	2	1	1.114	16
62.011	2	1	1.374	1
66.01	2	1	1.426	2
68.076	2	1	0.781	-3
70.141	2	1	1.142	51
76.006	2	0	0.965	17
78.072	2	1	1.676	18
80.138	2	1	0.951	-19
82.203	2	0	1.312	-52
86.002	2	0	1.4	-21
88.068	2	1	1.823	-22
90.134	2	1	1.366	23
92.183	2	0	0.826	53
96.015	2	1	0.908	-5
98.081	2	0	1.075	-6
102.013	2	1	0.749	8
108.01	2	0	0.831	1
114.008	2	1	0.867	2
116.074	2	1	0.745	-4
122.005	2	1	1.348	-9
126.004	2	1	0.751	10
128.069	2	1	0.815	-12
130.135	2	1	0.788	54
132.201	2	1	0.793	-21
136.016	2	1	0.976	-22
138.082	2	1	0.841	24
144.013	2	1	0.709	13
146.079	2	1	0.602	-14
148.145	2	1	0.985	15
150.211	2	1	0.967	-5
152.277	2	0	0.806	-6
154.343	2	1	0.788	8
156.409	2	0	0.777	1
162.006	2	1	1.1	2
164.072	2	1	0.689	-4
166.138	2	0	1.202	-21
170.003	2	1	0.665	-22
176.001	2	1	0.658	24
178.067	2	1	0.824	-49
180.133	2	1	1.861	-9
186.014	2	1	1.246	10
188.08	2	1	0.593	-11
194.011	2	1	1.167	-50
196.077	2	1	1.004	13
202.008	2	1	0.836	-14
206.006	2	1	0.94	16
210.005	2	1	1.668	51
214.004	2	1	0.877	-5
220.001	2	0	0.682	-6
222.084	2	1	0.709	7
226.016	2	1	0.675	-52
230.014	2	0	0.963	-9
234.013	2	1	1.045	10
236.095	2	1	0.717	-12
240.01	2	1	0.808	17
242.093	2	1	0.936	18
248.007	2	1	0.884	-19
250.09	2	1	0.841	54
252.172	2	1	1.008	1
256.004	2	1	1.454	2
258.087	2	1	0.69	-3
264.018	2	1	0.807	53
268.016	2	1	0.857	13
270.099	2	1	0.737	-14
274.014	2	1	0.789	15
276.097	2	0	1.195	17
280.012	2	1	1.079	18
286.01	2	1	1.041	-20
292.007	2	0	0.658	-21
294.09	2	1	0.729	-22
300.004	2	1	0.646	23
