onset	duration	accuracy	response_time	image
12.009	2	0	0	17
16.008	2	1	1.097	18
18.074	2	1	0.895	-19
22.006	2	1	0.798	-21
24.072	2	0	0.852	-22
28.003	2	1	1.095	23
32.002	2	0	1.071	13
36.017	2	1	1.489	-14
42.015	2	0	1.347	16
44.081	2	1	1.282	-53
46.147	2	0	0.785	-5
52.011	2	1	0.831	-6
56.009	2	1	1.058	8
58.059	2	1	0.879	-54
60.125	2	1	1.046	-9
66.006	2	1	1.606	10
68.072	2	1	1.388	-12
74.003	2	1	0.969	51
76.068	2	1	0.789	1
82.016	2	0	1.292	2
84.082	2	1	0.769	-4
86.148	2	1	0.837	50
92.013	2	1	0.876	13
94.078	2	1	1.013	-14
100.009	2	1	0.738	15
102.075	2	1	0.885	-5
104.141	2	1	0.775	-6
108.006	2	1	1.741	7
110.072	2	0	1.274	49
112.138	2	1	1.016	-21
114.204	2	0	0.861	-22
118.003	2	1	1.391	24
122.018	2	1	1.336	17
124.084	2	1	1.48	18
126.149	2	1	0.908	-20
130.015	2	1	1.725	1
132.081	2	0	0	2
134.13	2	0	0.034	-3
138.012	2	1	1.217	-52
140.078	2	1	0.71	-9
144.009	2	1	1.362	10
146.075	2	1	0.949	-11
148.141	2	1	1.014	-21
150.207	2	0	1.427	-22
156.005	2	0	0	24
162.003	2	1	1.375	-54
166.018	2	1	1.218	17
168.084	2	1	1.285	18
174.015	2	1	1.882	-20
180.012	2	1	1.111	-53
184.011	2	0	1.223	-5
190.009	2	1	1.033	-6
192.075	2	1	1.385	8
198.006	2	1	1.157	-9
204.003	2	1	0.96	10
206.069	2	1	0.869	-12
210.018	2	1	0.896	50
212.084	2	1	0.991	-21
214.149	2	0	0.884	-22
220.014	2	1	0.755	23
226.012	2	0	1.6	17
230.01	2	1	1.834	18
236.008	2	1	1.225	-19
242.006	2	1	1.038	13
246.004	2	1	0.856	-14
248.087	2	0	1.876	16
252.002	2	0	1.559	51
254.084	2	1	0.813	1
256.167	2	0	1.181	2
260.015	2	1	0.933	-3
262.098	2	0	1.072	-5
264.18	2	1	1.198	-6
266.263	2	1	1.162	7
268.346	2	1	1.307	-52
274.01	2	1	1.679	-9
278.008	2	1	1.409	10
280.091	2	1	1.35	-11
282.174	2	1	1.286	13
284.256	2	1	1.01	-14
286.339	2	1	1.385	15
288.421	2	0	0.867	49
294.003	2	1	1.143	1
300.017	2	0	0.843	2
304.015	2	1	1.065	-4
