onset	duration	accuracy	response_time	image
12.008	2	0	0	13
16.007	2	1	0.633	-14
18.072	2	1	0.937	16
24.003	2	1	1.061	-9
26.069	2	1	0.595	10
32.017	2	1	0.896	-12
34.083	2	1	0.671	1
38.015	2	0	1.283	2
40.081	2	1	0.897	-4
44.013	2	1	0.9	49
50.01	2	0	1.649	17
54.009	2	1	0.632	18
56.075	2	1	0.997	-20
62.006	2	1	1.706	-21
68.004	2	0	0.613	-22
72.002	2	0	0.952	24
74.068	2	0	1.868	51
76.134	2	0	1.332	-5
80.016	2	1	1.21	-6
82.065	2	1	1.375	8
84.131	2	1	1.278	50
90.012	2	1	0.79	1
96.009	2	0	1.288	2
98.075	2	1	1.181	-3
100.141	2	0	0.741	-52
106.006	2	1	1.509	-21
108.072	2	0	1.177	-22
112.003	2	1	1.35	23
114.069	2	1	1.62	-53
118.001	2	0	0.986	-5
120.067	2	1	0.775	-6
122.133	2	1	0.757	7
124.199	2	1	1.746	-9
128.014	2	1	0.546	10
134.012	2	1	0.767	-11
136.078	2	0	0.867	-54
140.01	2	1	1.026	17
146.007	2	1	1.233	18
148.073	2	1	1.064	-19
152.005	2	1	1.012	13
158.003	2	1	0.734	-14
160.069	2	1	0.837	15
162.134	2	1	1.373	-5
166.016	2	1	1.256	-6
172.014	2	1	0.829	8
174.08	2	1	0.833	-21
176.146	2	0	1.305	-22
178.212	2	1	0.943	23
182.01	2	1	0.902	17
186.009	2	1	1.088	18
188.075	2	1	0.992	-20
190.141	2	1	1.71	49
196.005	2	1	1.061	-9
198.071	2	1	0.708	10
200.137	2	1	0.713	-12
202.203	2	1	0.758	13
208.017	2	1	1.016	-14
210.083	2	1	0.848	15
216.014	2	1	1.732	1
222.012	2	0	1.207	2
224.078	2	1	1.334	-3
226.143	2	1	0.993	50
228.226	2	1	1.367	-9
232.008	2	1	1.587	10
234.09	2	1	0.871	-11
238.006	2	1	1.858	-54
240.088	2	0	0.753	-5
242.171	2	1	0.919	-6
248.002	2	1	0.744	7
252.017	2	0	1.473	17
258.015	2	1	0.98	18
260.097	2	1	1.121	-19
262.163	2	1	1.694	51
268.011	2	1	1.44	1
272.009	2	0	0.959	2
274.092	2	1	1.503	-4
276.174	2	0	1.107	-52
278.257	2	0	0	13
282.006	2	1	0.619	-14
284.088	2	1	0.722	16
290.003	2	1	1.527	-53
294.018	2	1	0.889	-21
300.015	2	0	0.707	-22
302.098	2	1	0.992	24
