onset	duration	accuracy	response_time	image
12.01	2	1	1.224	50
18.008	2	1	0.852	-9
22.006	2	1	0.668	10
24.072	2	1	0.618	-11
28.004	2	1	0.622	1
34.002	2	0	0.681	2
38.017	2	1	0.666	-4
44.014	2	1	0.635	49
46.08	2	1	0.748	-5
48.146	2	0	0.65	-6
52.011	2	1	0.734	7
56.01	2	1	0.882	-51
60.008	2	1	1.01	-9
62.074	2	1	0.631	10
64.14	2	1	0.573	-12
66.206	2	1	0.806	13
70.005	2	1	0.439	-14
72.071	2	1	0.691	16
76.002	2	1	0.934	-52
82.017	2	0	1.115	-21
84.083	2	1	0.633	-22
86.149	2	1	0.622	24
88.214	2	0	0.941	54
94.012	2	1	0.709	17
96.078	2	0	0.485	18
100.01	2	1	0.746	-19
102.076	2	1	0.686	13
104.142	2	1	0.524	-14
106.208	2	1	0.643	15
110.006	2	1	0.756	-21
114.005	2	1	0.812	-22
116.07	2	1	0.582	23
118.136	2	1	0.643	-53
122.002	2	0	0.754	-5
128.016	2	0	0.532	-6
132.014	2	1	0.629	8
136.013	2	1	0.816	1
138.062	2	0	0.469	2
142.011	2	1	0.719	-3
144.076	2	1	0.671	17
150.008	2	0	1.028	18
154.006	2	1	1.236	-20
156.072	2	1	0.609	13
160.004	2	1	0.583	-14
166.001	2	1	0.728	16
168.067	2	1	0.902	-52
170.133	2	0	0.87	-21
172.199	2	1	0.636	-22
178.014	2	1	1.181	24
180.08	2	0	0.924	54
182.145	2	1	0.72	17
188.01	2	0	0.712	18
190.076	2	1	0.681	-20
196.007	2	1	0.877	-53
202.005	2	1	0.758	1
208.002	2	0	0.831	2
210.068	2	1	0.662	-4
212.134	2	1	1.195	-9
216.016	2	1	0.682	10
222.014	2	1	0.787	-11
228.011	2	1	0.633	13
230.094	2	1	0.643	-14
236.008	2	1	0.649	15
238.091	2	1	0.889	-5
244.005	2	0	0.606	-6
246.088	2	1	0.749	8
248.17	2	1	1.063	-51
254.002	2	0	0	-21
258.017	2	1	0.643	-22
264.014	2	1	0.612	23
266.097	2	1	0.794	50
268.179	2	0	1.537	17
270.262	2	0	0.726	18
272.345	2	1	0.652	-19
274.427	2	1	0.583	49
280.008	2	1	0.667	-9
282.091	2	1	0.672	10
288.005	2	1	0.663	-12
290.088	2	1	0.66	1
292.17	2	0	0.433	2
294.253	2	1	0.71	-3
298.002	2	0	1.257	-5
300.084	2	0	0.631	-6
302.167	2	1	0.668	7
