onset	duration	accuracy	response_time	image
12.008	2	1	0.817	49
14.073	2	0	0.785	13
16.139	2	1	0.798	-14
22.004	2	1	0.686	15
28.002	2	1	0.929	1
34.016	2	0	0.681	2
36.082	2	1	0.632	-3
42.013	2	1	0.925	17
44.079	2	0	0.749	18
48.011	2	1	0.81	-19
50.077	2	0	0.623	-21
52.142	2	1	0.563	-22
56.008	2	1	0.7	24
58.073	2	1	0.786	-52
60.139	2	1	0.822	-9
62.205	2	1	0.646	10
64.271	2	1	0.708	-12
68.003	2	1	0.872	-53
74.017	2	1	0.672	1
78.016	2	0	0.724	2
80.082	2	1	0.705	-4
82.148	2	0	0.96	-5
86.013	2	0	0.844	-6
88.079	2	1	0.645	8
92.011	2	1	1.59	54
96.009	2	0	1.018	13
100.008	2	1	0.675	-14
106.005	2	1	0.75	16
108.071	2	1	0.763	50
114.002	2	1	1.066	-21
116.068	2	1	1.453	-22
120.017	2	1	0.69	23
122.083	2	1	1.024	-5
124.148	2	0	0.79	-6
126.214	2	1	0.827	7
130.013	2	1	0.789	-51
132.079	2	1	0.636	17
134.145	2	0	0.57	18
138.01	2	1	0.745	-20
140.076	2	1	0.997	-9
144.008	2	1	0.684	10
146.073	2	1	0.778	-11
152.004	2	0	1.07	-21
154.07	2	1	0.7	-22
160.001	2	1	0.967	23
164.017	2	0	1.332	13
166.083	2	1	0.808	-14
168.148	2	1	0.838	15
170.214	2	1	0.838	-5
174.013	2	0	0.621	-6
180.011	2	1	0.634	8
186.008	2	1	0.817	-9
188.058	2	1	0.576	10
194.005	2	1	0.661	-12
196.071	2	0	1.674	-52
202.002	2	1	1.266	1
206.017	2	0	0.602	2
208.083	2	1	0.831	-4
210.166	2	1	1.006	49
214.014	2	0	0.884	17
216.097	2	0	0.761	18
222.011	2	1	0.726	-19
226.01	2	1	0.847	54
232.007	2	1	1.573	-5
234.09	2	0	0.738	-6
240.004	2	1	0.792	7
242.087	2	1	0.642	-53
244.17	2	0	0.69	-21
246.252	2	1	0.672	-22
252.017	2	1	0.728	24
256.015	2	1	1.276	50
258.081	2	0	1.464	17
260.163	2	0	0.777	18
266.011	2	1	1.294	-20
272.009	2	1	0.634	13
276.007	2	1	0.627	-14
278.09	2	1	0.833	16
282.005	2	1	1.212	-51
284.088	2	1	0.73	1
290.002	2	0	0.855	2
292.085	2	1	0.782	-3
294.167	2	1	1.308	-9
298.016	2	1	0.724	10
304.014	2	1	0.628	-11
