onset	duration	accuracy	response_time	image
12.013	2	0	0	-37
16.012	2	1	1.351	-38
18.077	2	1	0.797	39
24.009	2	1	0.641	-57
26.074	2	0	0.927	-25
32.005	2	1	0.742	26
34.071	2	1	0.555	-28
36.137	2	0	1.442	-55
38.203	2	1	1.168	33
42.018	2	1	0.831	34
44.084	2	1	0.661	-35
48.016	2	1	0.665	45
50.082	2	1	0.576	-46
52.148	2	1	0.6	47
54.214	2	1	0.884	58
58.012	2	1	0.461	-41
64.01	2	1	0.599	42
66.076	2	1	0.726	-44
68.142	2	1	0.652	59
70.208	2	1	0.803	-37
74.006	2	1	0.59	-38
80.004	2	1	0.695	40
82.07	2	1	0.683	-25
84.136	2	1	0.522	26
88.018	2	1	0.633	-27
94.015	2	1	0.756	-60
100.013	2	1	0.526	45
102.079	2	1	0.565	-46
108.01	2	1	0.735	48
110.076	2	0	0.592	29
112.142	2	1	0.558	-30
114.208	2	1	0.603	31
116.274	2	1	0.681	-41
122.005	2	1	0.66	42
124.071	2	1	0.586	-43
126.136	2	1	0.577	33
130.002	2	1	0.591	34
132.068	2	1	0.591	-36
138.015	2	1	0.674	56
140.081	2	1	0.627	29
142.147	2	1	0.489	-30
144.196	2	1	0.559	32
148.011	2	1	0.757	-60
154.009	2	1	0.792	-37
160.007	2	1	0.604	-38
164.005	2	1	0.644	40
166.071	2	1	0.653	-55
168.137	2	1	1.513	29
174.002	2	1	0.679	-30
180.016	2	1	0.571	31
182.082	2	1	0.76	58
188.013	2	1	0.58	-25
190.079	2	1	0.589	26
192.145	2	1	1.034	-27
196.01	2	1	0.57	45
198.076	2	1	0.616	-46
204.007	2	1	0.65	47
208.005	2	0	0.94	56
214.003	2	1	0.63	-37
218.002	2	1	0.793	-38
222.017	2	1	0.56	39
224.099	2	1	0.838	-41
230.014	2	1	0.612	42
232.08	2	1	0.62	-44
236.011	2	1	0.67	29
240.01	2	1	0.841	-30
246.008	2	1	1.196	32
248.09	2	1	0.954	59
252.005	2	1	1.061	33
254.088	2	0	0.039	34
258.003	2	1	0.647	-36
260.086	2	0	1.308	-57
262.168	2	0	0.962	-25
264.251	2	1	0.75	26
268.016	2	1	0.74	-28
270.098	2	0	1.183	-41
276.013	2	1	0.646	42
282.011	2	1	0.641	-43
284.093	2	1	0.646	33
288.008	2	1	0.625	34
292.007	2	1	0.548	-35
294.089	2	1	0.601	45
296.172	2	1	0.632	-46
300.004	2	1	0.645	48
