onset	duration	accuracy	response_time	image
12.017	2	0	0	29
18.015	2	1	0.597	-30
22.013	2	1	0.998	32
26.012	2	1	0.661	-37
28.077	2	0	0.526	-38
34.009	2	1	0.267	40
36.074	2	1	0.567	-55
40.006	2	1	0.989	45
46.004	2	1	0.551	-46
50.002	2	1	0.617	48
52.068	2	1	0.519	-25
56.017	2	1	0.568	26
60.015	2	1	0.506	-27
62.081	2	0	0.867	-60
64.147	2	0	0.585	-41
66.213	2	1	0.509	42
70.012	2	1	0.67	-44
72.077	2	1	0.995	33
78.009	2	1	0.835	34
80.074	2	1	0.535	-36
84.006	2	1	0.998	59
86.072	2	1	0.505	-25
92.003	2	1	0.582	26
96.002	2	1	0.52	-28
98.068	2	0	0.903	-57
104.015	2	1	0.682	45
106.081	2	1	0.603	-46
110.013	2	1	0.694	47
114.012	2	1	0.581	-37
120.009	2	1	0.283	-38
126.007	2	1	0.322	39
130.005	2	0	0.846	56
134.004	2	1	0.896	-41
138.002	2	1	0.505	42
140.068	2	1	0.581	-43
144.017	2	0	0.561	33
148.015	2	1	0.828	34
150.081	2	1	0.705	-35
152.147	2	1	0.888	58
154.213	2	1	1.27	29
156.279	2	1	1.092	-30
160.011	2	1	0.911	31
166.009	2	1	0.624	-57
168.074	2	0	1.01	-25
170.14	2	1	0.551	26
172.206	2	1	0.611	-28
174.272	2	1	0.579	33
180.003	2	1	0.654	34
186.018	2	1	0.69	-35
188.083	2	0	1.464	-37
190.149	2	1	0.462	-38
194.015	2	1	0.668	40
200.012	2	0	1.168	29
206.01	2	1	0.719	-30
212.008	2	1	0.908	32
214.074	2	1	0.719	58
216.139	2	0	0.713	33
218.205	2	1	0.559	34
220.255	2	1	0.582	-36
222.32	2	0	0.578	-55
226.002	2	1	0.672	45
228.068	2	1	0.552	-46
230.134	2	1	0.532	48
232.2	2	1	0.435	-25
236.015	2	1	0.498	26
238.098	2	1	0.431	-27
244.012	2	1	0.501	-37
250.01	2	1	0.527	-38
256.008	2	0	0.633	39
258.09	2	0	0.646	56
260.173	2	0	0.812	-41
266.004	2	1	0.664	42
270.002	2	1	0.785	-43
272.085	2	0	0.783	-60
274.167	2	1	0.626	29
280.015	2	1	0.556	-30
282.081	2	1	0.56	31
284.164	2	1	0.552	45
286.246	2	1	0.533	-46
292.011	2	1	0.554	47
294.093	2	0	0.796	59
300.008	2	1	0.658	-41
302.09	2	1	0.562	42
304.173	2	1	0.591	-44
