onset	duration	accuracy	response_time	image
12.017	2	1	0	39
18.014	2	1	0.573	1
24.012	2	1	0	-11
31.009	2	1	0	-43
35.008	2	1	0	-25
39.006	2	1	0	15
45.004	2	1	0	-37
49.003	2	1	0	-49
56.017	2	1	0.641	-5
63.014	2	1	0	-19
70.011	2	1	0	-53
75.009	2	1	0	-21
79.008	2	1	0	-35
85.006	2	1	0	-27
92.003	2	1	0	52
97.018	2	1	0	13
104.015	2	1	0	-3
108.013	2	1	0	-50
115.011	2	1	0	-9
119.009	2	1	0.642	-25
123.008	2	1	0	-5
128.006	2	1	0	45
133.004	2	1	0	29
137.002	2	1	0	-41
141.018	2	1	0	54
145.016	2	1	0	33
149.015	2	1	0	1
155.012	2	1	0	23
161.01	2	1	0.586	29
166.008	2	1	0	31
170.007	2	1	0	17
174.005	2	1	0	7
178.004	2	1	0	51
185.018	2	1	0	47
189.016	2	1	0	-3
193.015	2	1	0	39
197.013	2	1	0	-19
201.012	2	1	0	-53
207.009	2	1	0	-27
211.008	2	1	0	-9
217.005	2	1	0	-41
221.004	2	1	0	-49
227.002	2	1	0	31
231.017	2	1	0	51
237.015	2	1	0	47
244.012	2	1	0	-43
249.01	2	1	0	-37
255.008	2	1	0	33
262.005	2	1	0	-5
267.003	2	1	0	1
271.002	2	1	0	-35
275.017	2	1	0	15
281.015	2	1	0	7
286.013	2	1	0	-50
290.011	2	1	0	13
297.008	2	1	0	23
301.007	2	1	0	-25
308.004	2	1	0.622	-19
315.018	2	1	0	29
319.017	2	1	0	52
323.015	2	1	0	-11
330.013	2	1	0	17
334.011	2	1	0	45
338.01	2	1	0	-21
342.008	2	1	0	54
348.006	2	1	0	15
355.003	2	1	0	-37
359.002	2	1	0	23
364.016	2	1	0	29
368.015	2	1	0	-3
372.013	2	1	0	45
379.011	2	1	0	-21
385.008	2	1	0	-50
391.006	2	1	0	33
396.004	2	1	0	47
400.003	2	1	0	1
404.001	2	1	0	-11
409.016	2	1	0	-5
414.014	2	1	0	-9
421.011	2	1	0	-19
425.01	2	1	0	7
431.008	2	1	0	-35
437.005	2	1	0	13
441.004	2	1	0	-27
447.002	2	1	0	51
452.016	2	1	0	39
456.015	2	1	0	-41
461.013	2	1	1.237	7
467.011	2	1	0	31
474.008	2	1	0	54
478.006	2	1	0	-53
482.005	2	1	0	52
487.003	2	1	0	-43
492.018	2	1	0.543	-43
496.016	2	1	0	17
501.014	2	1	0	-49
508.012	2	1	0	-25
515.009	2	1	0.536	31
519.008	2	1	0	51
523.006	2	1	0	52
527.005	2	1	0	33
531.003	2	1	0	-43
537.017	2	1	0	-9
544.015	2	1	0.628	-53
548.013	2	1	0	-21
553.011	2	1	0	17
559.009	2	1	0	1
564.007	2	1	0	23
570.005	2	1	0	-3
574.003	2	1	0	-53
581.017	2	1	0	-49
586.015	2	1	0	54
593.013	2	1	0	45
597.011	2	1	0	39
601.01	2	1	0	15
606.008	2	1	0	-19
612.006	2	1	0	-27
617.004	2	1	0	29
623.002	2	1	0	47
630.015	2	1	0	-41
635.014	2	1	0	-5
642.011	2	1	0.614	51
647.009	2	1	0	-11
651.007	2	1	0	7
657.005	2	1	0	-25
662.003	2	1	0	13
668.018	2	1	0	-35
672.016	2	1	0	31
676.015	2	1	0	-37
681.013	2	1	0	-50
