onset	duration	accuracy	response_time	image
12.014	2	0	0	51
14.08	2	1	1.276	13
20.011	2	1	1.254	-14
24.009	2	1	1.104	15
26.075	2	1	1.295	-5
28.141	2	1	1.261	-6
32.006	2	1	1.757	8
36.005	2	0	1.092	1
40.003	2	0	1.224	2
42.069	2	1	1.246	-4
44.135	2	0	1.587	-52
50.016	2	1	1.108	-9
52.082	2	1	0.898	10
56.014	2	1	0.782	-11
58.08	2	0	1.258	-49
62.011	2	1	1.096	17
66.01	2	0	1.128	18
72.008	2	1	0.914	-20
74.073	2	1	1.072	13
76.139	2	1	0.912	-14
80.005	2	1	0.845	16
86.002	2	1	0.952	-21
88.068	2	0	0.951	-22
90.134	2	1	1.333	24
92.2	2	1	1.409	53
94.266	2	1	0.88	-5
100.014	2	1	1.068	-6
104.012	2	1	0.821	7
106.078	2	0	1.525	1
112.009	2	0	0.97	2
114.058	2	1	1.128	-3
120.006	2	1	0.828	-54
122.072	2	1	0.698	17
124.138	2	0	1.122	18
130.002	2	1	1.33	-19
136.017	2	0	1.386	-9
142.014	2	1	1.14	10
146.013	2	1	0.836	-12
148.079	2	1	0.917	50
150.145	2	1	0.867	-21
154.01	2	0	1.298	-22
156.076	2	1	1.054	23
158.142	2	1	0.758	-9
164.006	2	1	1.004	10
166.072	2	1	0.666	-12
172.003	2	1	0.919	17
174.069	2	0	1.423	18
176.135	2	1	1.202	-19
180.017	2	1	1.226	51
184.015	2	1	1.066	13
186.081	2	1	0.824	-14
188.147	2	1	1.27	16
190.213	2	1	0.895	-49
194.011	2	1	0.782	-5
200.009	2	1	0.801	-6
202.075	2	1	0.783	7
208.006	2	0	0.852	1
214.004	2	1	1.927	2
216.07	2	1	0.98	-3
220.001	2	1	0.921	13
226.016	2	1	0.754	-14
228.082	2	1	0.825	15
230.148	2	1	1.255	53
236.012	2	1	0.831	-21
238.095	2	0	0.677	-22
244.009	2	1	1.074	24
246.092	2	1	0.799	-52
248.174	2	1	0.925	1
252.006	2	0	1.564	2
254.089	2	1	0.884	-4
256.171	2	1	0.735	50
258.237	2	1	0.903	-5
260.319	2	1	1.195	-6
262.402	2	1	0.823	8
266.017	2	1	1.082	-54
272.015	2	0	1.221	17
276.013	2	0	1.302	18
278.096	2	1	0.873	-20
282.011	2	1	0.894	-21
286.01	2	1	1.401	-22
292.007	2	1	0.915	23
298.005	2	1	0.831	-9
300.088	2	1	0.962	10
302.17	2	1	1.11	-11
