onset	duration	accuracy	response_time	image
12.015	2	0	0	17
18.012	2	0	0.638	18
20.078	2	1	0.532	-19
24.01	2	1	0.705	13
28.008	2	1	0.552	-14
30.074	2	1	0.537	15
34.006	2	1	0.62	-21
36.072	2	1	0.57	-22
42.003	2	1	0.526	24
44.069	2	0	0.756	1
50.017	2	0	0.84	2
54.015	2	1	0.523	-4
56.081	2	1	0.545	49
62.012	2	1	0.928	-9
66.011	2	1	0.657	10
68.077	2	1	0.478	-11
72.008	2	0	0.891	-5
74.074	2	0	0.943	-6
78.006	2	1	0.692	8
80.072	2	0	0.721	52
82.138	2	1	0.551	13
88.002	2	1	0.575	-14
90.051	2	1	0.64	16
96.016	2	1	0.795	-50
98.082	2	1	0.867	1
100.131	2	0	0.89	2
104.013	2	1	0.588	-3
106.079	2	1	0.661	-51
108.145	2	1	1.009	-21
110.21	2	1	0.719	-22
116.008	2	1	0.521	23
118.058	2	1	0.575	-5
120.123	2	0	0.552	-6
124.005	2	1	0.6	7
126.071	2	1	0.571	-53
128.137	2	0	0.586	-9
134.002	2	1	1.033	10
136.067	2	1	0.526	-12
138.133	2	1	0.541	54
144.014	2	0	1.139	17
146.08	2	0	0.619	18
148.146	2	0	0.528	-20
150.212	2	1	0.559	-53
154.011	2	1	1.018	-21
156.076	2	1	0.567	-22
160.008	2	1	0.58	24
164.007	2	0	1.067	1
170.004	2	0	0.653	2
172.07	2	1	0.486	-4
174.136	2	1	0.627	54
180.017	2	0	1.082	17
186.015	2	0	0.677	18
190.014	2	1	0.551	-19
196.011	2	0	0.822	-21
198.077	2	1	0.685	-22
202.009	2	1	0.57	23
204.075	2	0	0.919	52
206.141	2	1	0.997	-5
208.207	2	0	0.66	-6
214.004	2	1	0.615	8
220.002	2	1	0.649	-50
226.017	2	1	0.706	13
230.015	2	1	0.636	-14
232.098	2	1	0.529	15
238.012	2	1	1.102	-9
244.01	2	1	0.528	10
246.092	2	1	0.509	-12
250.007	2	1	0.86	1
252.073	2	0	0.608	2
254.156	2	1	0.654	-3
258.004	2	1	0.544	17
260.087	2	0	0.587	18
264.002	2	0	0.625	-20
266.085	2	1	0.54	-51
270.017	2	1	0.571	13
276.014	2	1	0.725	-14
278.097	2	1	0.579	16
282.012	2	1	0.518	49
284.095	2	1	0.988	-9
288.01	2	1	0.682	10
290.092	2	1	0.493	-11
296.007	2	0	1.083	-5
298.089	2	0	0.872	-6
304.004	2	1	0.599	7
